"","Depth_ft","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Chemofacies","Formation"
"17",6149,8.2,27.86,2.7,0.56,5.15,2.39,1.38,2.65,0.02,0.05,6.91,208.75,17.1,123.25,57.09,74.89,8.18,51.04,131.22,50.46,2,"Utica FM"
"18",6149.6,7.55,26.76,2.28,0.46,4.88,2.42,1.44,5.72,0.02,0.11,13.34,194.6,17.54,136.25,64.71,81.77,7.78,49.67,124.85,53.67,2,"Utica FM"
"19",6150,8.09,27.35,2.42,0.97,5.24,3.12,1.54,3.34,0.02,0.27,14.34,10,13.81,137.35,124.48,275.49,9.66,54.37,117.3,73.14,2,"Utica FM"
"20",6150.6,7.19,23.67,2.17,0.001,4.66,2.27,2.21,9.5,0.02,0.19,11.01,10,17.8,117.19,52.82,61.47,7.19,43.86,95.11,45,2,"Utica FM"
"21",6151,7.21,23.62,2.17,0.001,4.78,2.12,2.17,9.11,0.03,0.15,9.9,10,12.3,117.96,54.26,75.89,7.93,103.73,112.01,35.01,2,"Utica FM"
"22",6151.6,6.72,23.39,2.04,0.36,4.62,1.98,1.62,9.74,0.03,0.14,6.62,155.25,14.22,122.61,50.99,64.57,9.11,42.07,110.38,46.17,2,"Utica FM"
"23",6152,6.7,22.54,2.03,0.94,4.88,2.32,1.57,8.66,0.03,0.17,12.88,10,11.47,105.21,69.82,51.32,10.78,103.12,111.34,52.63,2,"Utica FM"
"24",6152.6,8.6,30.32,2.76,0.001,4.84,2.9,1.23,2.1,0.01,0.13,17.41,10,21,124.33,82.59,91.97,10.37,55.38,122.78,54.46,2,"Utica FM"
"25",6153,8.64,28.95,2.71,0.001,4.61,2.62,1.62,4.06,0.02,0.1,12.86,10,16.24,121.52,68.16,84.92,10.91,54.05,107.11,47.25,2,"Utica FM"
"26",6153.6,7.66,26.71,2.4,0.001,4.42,2.2,1.25,6.48,0.03,0.17,17.38,10,14.6,131.85,63.89,119.67,9.9,120.88,127.64,34.67,2,"Utica FM"
"27",6154,7.15,23.73,2.14,0.001,4.71,2.37,1.91,8.4,0.02,0.21,12.9,10,16.94,142.48,54.93,90.29,14.1,44.6,105.43,49.79,2,"Utica FM"
"28",6154.6,8.46,29.55,2.57,0.53,5.04,3.1,1.33,2.97,0.02,0.15,18.56,235.44,15.51,149.07,88.13,63.05,9.5,53.79,140.57,79.35,2,"Utica FM"
"29",6155,8.34,29.18,2.58,0.52,4.66,2.72,1.11,4.31,0.02,0.04,32.07,223.46,22.64,124.1,60.58,66.38,10.02,55.07,141.21,64.25,2,"Utica FM"
