"DEPT","MMK","GR","TENS","CALI","BHVT","AHVT","LLDC","LLSC","MSFL","DPHI","NPHI","RHOB","DRHO","PE","LLS","LLD","CLLD","LATITUDE","LOGITUDE"
2673,0,19.0533,4022.2046,8.7763,985.3691,416.1909,141.4608,134.1563,38.5044,5.0812,1.0946,2.6231,-0.011,4.1286,131.2201,156.3678,6.3952,"41.12738","-81.056164"
2673.25,0,19.7204,4016.0796,8.7621,985.2641,416.1527,146.7072,136.687,41.662,5.3445,0.9045,2.6186,-0.014,4.1578,133.782,162.3479,6.1596,"41.12738","-81.056164"
2673.5,0,20.6672,4004.8589,8.7602,985.1594,416.1148,144.5428,138.0898,53.9851,5.7638,0.8598,2.6114,-0.0159,4.0494,135.1756,159.8991,6.2539,"41.12738","-81.056164"
2673.75,0,21.7768,4021.4331,8.7602,985.0548,416.077,139.7715,139.4602,80.4912,5.9647,0.8956,2.608,-0.0172,3.9261,136.5288,154.4934,6.4728,"41.12738","-81.056164"
2674,0,22.7519,4019.4663,8.7524,984.9502,416.0392,153.981,174.421,127.8591,6.0923,0.9672,2.6058,-0.0174,3.8284,171.1314,170.6251,5.8608,"41.12738","-81.056164"
2674.25,0,22.5317,4021.6011,8.7402,984.8458,416.0016,219.839,310.2812,94.6231,5.5954,1.0249,2.6143,-0.0166,3.8657,306.1434,245.7763,4.0687,"41.12738","-81.056164"
2674.5,0,22.241,4028.6528,8.7465,984.7416,415.9642,365.024,406.1526,95.1868,4.7547,0.9479,2.6287,-0.0152,3.9808,401.2396,411.8425,2.4281,"41.12738","-81.056164"
2674.75,0,21.8104,4014.6936,8.7429,984.6373,415.9267,429.9682,424.9343,96.5047,4.0999,0.7582,2.6399,-0.0128,4.0506,419.846,485.1402,2.0613,"41.12738","-81.056164"
2675,0,21.5035,4028.8428,8.7292,984.533,415.8893,446.0973,422.6047,100.875,3.41,0.5525,2.6517,-0.0102,4.0945,417.7402,503.4327,1.9864,"41.12738","-81.056164"
2675.25,0,21.2074,4049.0601,8.7251,984.4291,415.8522,453.5903,418.2432,168.8922,3.2401,0.4264,2.6546,-0.008,4.0202,413.4873,511.9174,1.9534,"41.12738","-81.056164"
2675.5,0,20.4622,4040.678,8.7078,984.3253,415.8152,485.5008,449.0606,408.3637,3.2129,0.3375,2.6551,-0.0062,3.9659,444.2184,548.0605,1.8246,"41.12738","-81.056164"
2675.75,0,20.3245,4066.0139,8.7016,984.2219,415.7786,565.557,665.8466,404.7096,2.9759,0.1962,2.6591,-0.0046,4.0044,658.806,638.4859,1.5662,"41.12738","-81.056164"
2676,0,20.8939,4060.8625,8.7109,984.1187,415.7422,433.6359,1046.401,371.5761,2.5396,0.0886,2.6666,-0.0035,4.135,1035.0074,489.4918,2.0429,"41.12738","-81.056164"
2676.25,0,22.5772,4060.5603,8.7307,984.0152,415.7055,257.4414,409.6783,365.5438,2.0551,-0.0619,2.6749,-0.0036,4.3757,404.9424,288.9745,3.4605,"41.12738","-81.056164"
2676.5,0,24.7345,4062.2148,8.7452,983.9113,415.6684,181.5442,188.8649,341.27,1.6999,-0.0989,2.6809,-0.0053,4.5821,185.4792,202.0014,4.9505,"41.12738","-81.056164"
