"","Depth_ft","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Chemofacies","Formation"
"34",7798.6,1.51,4.37,0.27,0.001,1.1,0.39,0.3,41.11,0.12,0.02,1.5,10,2,15,7.5,7.5,13.1396875,1.5,1.5,5,5,"Utica FM"
"35",7799,7.03,20.3,2.53,0.001,3.99,1.15,0.94,9.41,0.04,0.02,1.5,10,2,15,7.5,7.5,13.11984375,52.5,101.76,5,3,"Utica FM"
"36",7799.6,8.94,25.62,2.67,0.44,4.31,2.39,1.17,5.94,0.03,0.02,1.5,10,2,15,7.5,93.41,13.109921875,58.44,125.64,27.59,3,"Utica FM"
"37",7800,7.45,21.73,2.41,0.001,4.12,2.39,0.3,4.64,0.03,0.02,1.5,10,2,15,7.5,75.04,13.1049609375,69.23,115,10.64,3,"Utica FM"
"38",7800.6,3.6,9.77,0.55,0.001,3.14,1.18,0.78,31.09,0.07,0.02,1.5,10,2,15,7.5,80.24,13.10248046875,33.14,72.78,17.68,3,"Utica FM"
"39",7801,9.39,25.78,2.92,0.001,4.62,2.32,1.36,4.28,0.03,0.04,1.5,10,2,15,7.5,7.5,13.101240234375,61.1,134.95,5,3,"Utica FM"
"40",7802,9.52,25.33,2.75,0.001,2.52,2.27,1.18,15.33,0.1,0.02,1.5,10,2,15,7.5,38.4,13.1006201171875,19.66,54.49,5,3,"Utica FM"
"41",7802.6,8.17,23.44,2.69,0.001,4.08,1,1.16,7.15,0.04,0.02,1.5,10,2,15,7.5,74.29,13.1003100585937,52.63,121.84,15.23,3,"Utica FM"
"42",7803,9.15,26.1,2.86,0.001,4.4,1.89,1.06,4.79,0.03,0.02,1.5,10,2,15,38.55,91.23,13.1001550292969,60.74,126.7,17.87,3,"Utica FM"
"43",7803.6,6.44,21.57,2.27,0.44,3.73,1.54,0.8,9.13,0.05,0.02,1.5,10,2,15,7.5,7.5,13.1000775146484,45.46,147.85,5,3,"Utica FM"
"44",7804,9.09,24.79,2.83,0.001,4.41,1.4,1.34,6.23,0.03,0.02,1.5,10,2,15,7.5,93.06,13.1000387573242,57.1,122.51,5,3,"Utica FM"
"45",7804.6,2.63,7.16,0.61,0.001,2.01,0.81,0.92,35.52,0.1,0.02,1.5,10,2,15,7.5,34.82,13.1000193786621,11.58,37.5,12.38,5,"Utica FM"
"46",7805,4.62,13.8,1.21,0.001,2.89,1.39,1.05,24.51,0.07,0.02,1.5,10,2,15,7.5,50.57,13.1000096893311,27.71,70.96,17.67,3,"Utica FM"
"47",7805.6,8.2,23.58,2.91,0.001,4.33,0.93,0.85,5.55,0.04,0.08,1.5,10,2,15,7.5,7.5,13.1000048446655,61.76,118.91,5,3,"Utica FM"
"48",7806,7.24,24.46,2.12,0.001,3.57,1.47,0.75,9.92,0.05,0.02,1.5,10,2,15,7.5,65.33,13.1000024223328,45.45,126.71,13.77,3,"Utica FM"
"49",7806.6,2.4,6.78,0.62,0.001,1.78,0.52,0.3,35.81,0.09,0.02,1.5,10,2,15,50.4,22.95,13.1000012111664,11.85,30.8,5,5,"Utica FM"
"50",7807,7.54,22.75,2.59,0.001,4.27,2.1,0.94,7.18,0.04,0.03,1.5,10,2,15,7.5,81.52,13.1000006055832,54.21,122.65,22.08,3,"Utica FM"
"51",7807.6,9.3,26.3,3.37,0.5,4.1,2.49,0.89,6.51,0.03,0.02,1.5,10,2,15,7.5,81.68,13.1,55.4,119.62,17.1,3,"Utica FM"
"52",7808,9.98,26.13,2.87,0.001,4.38,1.73,1.13,6.31,0.04,0.02,1.5,10,2,15,7.5,82.3,18.15,58.33,119.13,22.38,3,"Utica FM"
"53",7808.6,8.21,24.86,2.46,0.001,4.1,1.49,1.18,6.98,0.04,0.02,1.5,10,2,15,7.5,81.45,20.675,51.87,119.14,17.25,3,"Utica FM"
"54",7809,8.85,25.54,2.79,0.001,4.46,2.23,1.1,5.21,0.03,0.02,1.5,10,2,15,7.5,79.25,21.9375,60.55,128.82,18.29,3,"Utica FM"
"55",7809.6,8.98,25.75,2.95,0.48,4.22,2.24,1.19,5.03,0.04,0.02,1.5,10,2,15,7.5,7.5,22.56875,57.69,122.32,5,3,"Utica FM"
"56",7810,8.65,24.62,2.74,0.001,4.5,2.99,0.89,5.45,0.03,0.02,1.5,10,2,15,7.5,7.5,22.884375,58.52,139.04,5,3,"Utica FM"
"57",7810.6,9.8,24.97,2.91,0.001,4.58,1.88,1.25,6.67,0.04,0.09,1.5,10,2,15,7.5,80.16,23.0421875,60.57,123.34,13.05,3,"Utica FM"
"58",7811,9.26,25.06,2.77,0.001,4.27,2.03,1.05,6.17,0.04,0.02,1.5,10,2,15,7.5,73.15,23.12109375,58.68,117.01,10.51,3,"Utica FM"
"59",7811.6,9.52,26.4,2.95,0.52,4.51,2.18,0.91,3.96,0.03,0.02,1.5,10,2,15,7.5,69.65,23.160546875,62.87,122.39,13.17,3,"Utica FM"
"60",7812,8.32,23.25,2.65,0.001,4.04,1.73,0.91,6.95,0.04,0.02,1.5,10,2,15,33.06,71.38,23.1802734375,57.52,120.12,15.57,3,"Utica FM"
"61",7812.6,5,12.96,0.94,0.001,2.67,1.12,0.67,28.09,0.09,0.02,1.5,10,2,15,7.5,34.25,23.19013671875,26.1,66.73,12.1,3,"Utica FM"
"62",7813,4.19,11.37,0.95,0.001,2.54,0.79,0.68,28.02,0.09,0.02,1.5,10,2,15,7.5,56.81,23.195068359375,24.98,55.22,9.83,3,"Utica FM"
"63",7813.6,9.07,25.05,2.85,0.001,4.25,2.58,1.14,5.56,0.03,0.02,1.5,10,2,15,7.5,7.5,23.1975341796875,57.32,122.11,5,3,"Utica FM"
"64",7814,4.39,12.87,1.32,0.001,2.95,1.51,0.88,23.59,0.08,0.02,1.5,10,2,15,7.5,39.48,23.1987670898437,29.8,71.26,22.88,3,"Utica FM"
"65",7814.6,1.02,2.79,0.16,0.001,1.01,0.41,0.3,43.25,0.14,0.02,1.5,10,2,15,7.5,7.5,23.1993835449219,1.5,1.5,5,5,"Utica FM"
"66",7815,8.16,23.93,2.68,0.47,4.47,1.92,0.89,5.64,0.03,0.02,1.5,10,2,15,7.5,97.1,23.1996917724609,58.7,143.25,28.95,3,"Utica FM"
"67",7815.6,8.47,25.24,2.64,0.001,4.65,2.05,0.9,5.47,0.03,0.02,1.5,10,2,15,41.83,90.24,23.1998458862305,56.07,140.71,25.09,3,"Utica FM"
"68",7816,9.03,25.96,2.76,0.49,4.62,1.69,1,4.42,0.03,0.02,1.5,10,2,87.78,7.5,78.77,23.2,59.1,145.75,17.96,3,"Utica FM"
"69",7816.6,8.56,23.2,2.26,0.001,4.12,2.28,1.4,10.36,0.04,0.02,1.5,10,2,15,7.5,150.14,20.01,50.43,109.97,15.67,3,"Utica FM"
"70",7817,7.15,19.88,2.49,0.001,4.61,2.07,0.71,5.48,0.03,0.02,1.5,10,2,15,7.5,88.87,18.415,58.41,118.49,15.56,3,"Utica FM"
"71",7817.6,3.42,7.55,0.28,0.001,1.44,0.75,0.68,42.34,0.1,0.02,1.5,10,2,15,7.5,36.24,17.6175,3.36,9.01,5,5,"Utica FM"
"72",7818,9.51,25.44,3.02,0.001,4.3,1.59,0.73,4.59,0.03,0.02,1.5,10,2,15,7.5,78.26,17.21875,61.29,132.14,10,3,"Utica FM"
"73",7818.6,8.67,23.93,2.72,0.001,4.34,1.78,1.24,6.21,0.03,0.02,1.5,10,2,15,7.5,78.75,17.019375,57.14,135.54,24.42,3,"Utica FM"
"74",7819,6.04,14.64,0.6,0.001,1.76,1.33,1.46,36.52,0.13,0.02,1.5,10,2,15,7.5,20.88,16.9196875,11.22,22.61,14.89,5,"Utica FM"
"75",7819.6,9.47,25.13,2.74,0.48,4.55,1.13,1.47,5.69,0.03,0.02,1.5,10,2,15,7.5,83.41,16.86984375,58.6,132.61,21.26,3,"Utica FM"
"76",7820,7.87,21.82,2.43,0.001,3.97,1.7,0.99,11.78,0.04,0.02,1.5,10,2,15,7.5,7.5,16.844921875,48.76,109.44,5,3,"Utica FM"
"77",7820.6,8.75,24.62,2.59,0.001,4.22,1.72,1.06,7.5,0.04,0.02,1.5,10,2,15,7.5,7.5,16.8324609375,49.82,130.65,5,3,"Utica FM"
"78",7821,7.83,23.38,2.62,0.001,4.31,1.89,0.93,6.6,0.04,0.02,1.5,10,2,15,7.5,7.5,16.82623046875,57.24,134.67,5,3,"Utica FM"
"79",7821.6,10.27,25.84,2.89,0.001,4.93,2.78,1.07,6.26,0.04,0.02,1.5,10,2,15,7.5,7.5,16.823115234375,63.11,113.7,5,3,"Utica FM"
"80",7822,7.17,22.06,2.45,0.001,4.04,2.18,0.69,7.65,0.04,0.02,1.5,10,2,15,7.5,72.45,16.82,53.12,109.77,18.02,3,"Utica FM"
"81",7823,8.44,22.86,2.38,0.001,4.2,1.77,1.04,9.93,0.04,0.02,1.5,10,2,15,28.07,72.2,16.39,53.11,114.02,26.96,3,"Utica FM"
"82",7823.6,8.22,22.95,2.3,0.001,3.88,1.37,1,10.86,0.04,0.02,1.5,10,2,15,7.5,7.5,16.175,50.64,125.42,5,3,"Utica FM"
"83",7824,2.54,6.78,0.69,0.001,0.92,0.28,0.6,37.13,0.03,0.02,1.5,10,2,15,7.5,17.29,16.0675,12.56,28.98,5,5,"Utica FM"
"84",7824.6,9.53,24.43,2.74,0.001,3.96,1.69,1.35,8.51,0.04,0.02,1.5,10,2,15,7.5,7.5,16.01375,52.69,130.37,5,3,"Utica FM"
"85",7825,2.96,8.15,0.53,0.001,1.77,0.44,0.54,37.64,0.09,0.02,1.5,10,2,15,7.5,19.81,15.96,15.16,36.31,11.67,5,"Utica FM"
"86",7826,8.66,24.24,2.75,0.001,4.43,2.31,1.53,6.42,0.03,0.02,1.5,10,2,15,7.5,262.82,16.605,57.5,110.47,5,3,"Utica FM"
"87",7826.6,9.61,24.95,2.88,0.001,3.97,1,1.22,6.63,0.03,0.02,1.5,10,2,15,7.5,7.5,16.9275,58.25,121.9,5,3,"Utica FM"
"88",7827,7.62,18.88,2.17,0.001,3.34,1.46,1.06,15.09,0.05,0.02,1.5,10,2,15,7.5,7.5,17.08875,48.41,113.89,5,3,"Utica FM"
"89",7827.6,4.42,13.59,2.28,0.001,3.49,1,1.03,13.04,0.05,0.02,1.5,10,2,15,7.5,7.5,17.169375,49.1,110.71,5,3,"Utica FM"
"90",7828,6.91,19.87,2.24,0.001,4,1.77,1.35,10.1,0.04,0.02,1.5,10,2,15,7.5,69.91,17.2096875,57.84,111.47,17.69,3,"Utica FM"
"91",7828.6,7.66,20.89,2.17,0.001,3.5,1.46,1.12,13.32,0.06,0.02,1.5,10,2,15,7.5,7.5,17.22984375,49.52,109.74,5,3,"Utica FM"
"92",7829,7.34,21.66,2.43,0.001,3.9,1.49,0.84,9.67,0.05,0.02,1.5,10,2,99.31,7.5,76.45,17.239921875,50.12,120.48,26.23,3,"Utica FM"
"93",7829.6,8.13,22.99,2.68,0.001,3.99,1.64,1.24,7.4,0.04,0.02,1.5,10,2,15,7.5,77.47,17.2449609375,54.98,117.89,22.6,3,"Utica FM"
"94",7830,5.11,14.26,1.34,0.001,2.99,0.7,0.72,23.62,0.05,0.02,1.5,10,2,15,7.5,361.22,17.24748046875,34.55,71.75,5,3,"Utica FM"
"95",7830.6,6.87,18.45,2.19,0.001,3.5,0.85,0.96,15.84,0.04,0.02,1.5,10,2,15,7.5,57.67,17.248740234375,41.62,85.86,20.46,3,"Utica FM"
"96",7831,8.1,22.33,2.75,0.001,4.23,2.23,0.98,7.52,0.03,0.02,1.5,10,2,15,7.5,70.05,17.2493701171875,55.46,123.86,26.94,3,"Utica FM"
"97",7831.6,7.48,20.94,2.22,0.001,3.94,2.03,0.81,11.54,0.05,0.02,1.5,10,2,15,7.5,70.1,17.2496850585937,47.98,103.74,26.1,3,"Utica FM"
"98",7832,8.68,23.89,2.76,0.001,4.04,2.07,1.23,7.3,0.03,0.02,1.5,10,2,15,7.5,80.52,17.2498425292969,56.7,115.55,34.35,3,"Utica FM"
"99",7832.6,8.66,21.88,2.28,0.001,3.82,1.33,0.9,13.56,0.05,0.02,1.5,10,2,15,7.5,68.37,17.2499212646484,45.85,94.29,21.65,3,"Utica FM"
"100",7833,6.83,19.36,2.19,0.001,3.75,1.59,0.65,12.31,0.05,0.02,1.5,10,2,15,7.5,63.36,17.2499606323242,46.2,101.58,26.89,3,"Utica FM"
"101",7833.6,7.89,20.63,2.51,0.001,3.9,1.44,1.19,12.31,0.04,0.02,1.5,10,2,15,7.5,7.5,17.2499803161621,48.45,98.19,5,3,"Utica FM"
"102",7834,8.5,22.66,2.54,0.43,4.34,1.59,1.32,8.95,0.03,0.02,1.5,10,2,73.23,7.5,72.75,17.2499901580811,55.23,109.33,22.46,3,"Utica FM"
"103",7834.6,7.71,22.14,2.68,0.001,4.16,1.46,0.82,7.62,0.03,0.02,1.5,10,2,15,7.5,75.31,17.25,53.14,112.43,22.69,3,"Utica FM"
