"Depth_ft","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Formation","Core","chemofacies","Al_ppm","K/Al","Mg/Al","Rb/Al","Si/Al","Ti/Al","Zr/Al","Si/Ti","Cu/Al","Fe/Al","Ni/Al","Mo/Al","S/Al","U/Al","Zn/Al","Si/Ca","SGR","Sr/Ca","V/Al"
6141,4.9,16.74,2.22,0.001,4.97,1.78,0.3,1.99,0.01,0.08,1.5,10,8.3,107.14,50.2,98.64,8.02,59.96,118.15,33.51,"Utica FM","Potage",2,49000,0.45,0.061,0.0012,3.4,2e-04,0.0024,17000,0.001,1,0.0022,3.1e-05,0.36,0.00017,0.002,8.4,134,0.005,2e-04
6141.6,7.98,28.22,2.83,0.001,5.32,2.39,1.3,0.95,0.01,0.06,1.5,10,8.78,97.59,56.13,102.44,23.59,62.07,129.97,31.48,"Utica FM","Potage",2,79800,0.35,0.16,0.00078,3.5,0.00013,0.0016,28000,7e-04,0.67,0.0012,1.9e-05,0.3,0.00011,0.0013,30,209.88,0.011,0.00013
6142,7.4,28.79,2.69,0.57,5.02,2.65,1.12,2.26,0.02,0.02,7.59,238.16,9.26,104.05,52.68,103.54,7.81,57,145.77,37.01,"Utica FM","Potage",1,74000,0.36,0.15,0.00077,3.9,0.077,0.002,51,0.00071,0.68,0.0014,1e-04,0.36,0.00013,0.0014,13,148.36,0.0088,0.0032
6142.6,8.3,29.34,2.7,0.57,5.58,3.03,1.72,1.29,0.01,0.05,6.54,214.31,10.41,131.47,68.08,114.91,6.64,56.94,145.99,43.14,"Utica FM","Potage",1,83000,0.33,0.21,0.00069,3.5,0.069,0.0018,51,0.00082,0.67,0.0016,7.9e-05,0.37,0.00013,0.0014,23,153.04,0.0078,0.0026
6143,5.15,26.24,1.7,0.001,4.71,1.89,0.9,2.31,0.03,0.02,1.5,10,10.985,99.98,71.86,130.66,9.15,84.75,169.27,20.24,"Utica FM","Potage",2,51500,0.33,0.17,0.0016,5.1,0.00019,0.0033,26000,0.0014,0.91,0.0019,2.9e-05,0.37,0.00021,0.0025,11,151.68,0.013,0.00019
6143.6,7.49,28.59,2.69,0.001,5.08,2.21,1.38,1.31,0.01,0.06,9.18,10,11.56,127.41,53.22,102.76,9.71,58.57,118.87,48.86,"Utica FM","Potage",1,74900,0.36,0.18,0.00078,3.8,0.00013,0.0016,29000,0.00071,0.68,0.0017,0.00012,0.3,0.00015,0.0014,22,174.36,0.0076,0.00013
6144,7.02,24.33,2.39,0.49,4.17,1.82,1.2,8.4,0.03,0.06,1.5,178.56,10.385,114.07,52.5,91.68,10.27,48.1,114.56,16.14,"Utica FM","Potage",2,70200,0.34,0.17,0.00069,3.5,0.07,0.0016,50,0.00075,0.59,0.0016,2.1e-05,0.26,0.00015,0.0013,2.9,162.4,0.0036,0.0025
6144.6,7.53,27.31,2.68,0.001,4.87,2.46,1.24,1.16,0.01,0.06,1.5,10,9.21,95.81,64.16,127.66,10.81,61.84,127.37,12.62,"Utica FM","Potage",2,75300,0.36,0.16,0.00082,3.6,0.00013,0.0017,27000,0.00085,0.65,0.0013,2e-05,0.33,0.00012,0.0017,24,159.8,0.0086,0.00013
6145,5.28,18.06,2.3,0.001,4.66,1.97,0.3,2.16,0.02,0.08,1.5,10,10.33,87.37,48.82,102.49,9.42,149.47,144.47,23.76,"Utica FM","Potage",2,52800,0.44,0.057,0.0028,3.4,0.00019,0.0027,18000,0.00092,0.88,0.0017,2.8e-05,0.37,2e-04,0.0019,8.4,157.12,0.0093,0.00019
6145.6,8.24,28.22,2.99,0.64,5.05,2.29,1.19,1.74,0.02,0.07,1.5,236.91,11.45,115.68,53.6,95.62,9.46,61.87,147.31,23.03,"Utica FM","Potage",1,82400,0.36,0.14,0.00075,3.4,0.078,0.0018,44,0.00065,0.61,0.0014,1.8e-05,0.28,0.00014,0.0012,16,177.28,0.011,0.0029
6146,7.73,25.19,2.72,0.56,5.12,2.89,1.39,1.37,0.02,0.1,1.5,192.93,13.68,108.12,44.44,88.61,9.31,63.19,142.91,33.82,"Utica FM","Potage",1,77300,0.35,0.18,0.00082,3.3,0.072,0.0018,45,0.00057,0.66,0.0014,1.9e-05,0.37,0.00018,0.0011,18,190.2,0.015,0.0025
6146.6,8.45,28.87,2.72,0.001,5.77,3.75,1.35,1.25,0.01,0.11,15.58,10,13.24,164.67,63.76,83.45,13.7,57.87,125.5,80.23,"Utica FM","Potage",1,84500,0.32,0.16,0.00068,3.4,0.00012,0.0015,29000,0.00075,0.68,0.0019,0.00018,0.44,0.00016,0.00099,23,204.24,0.008,0.00012
6147,7.04,23.98,2.68,0.001,5.27,2.66,0.62,1.57,0.01,0.12,1.5,10,12.62,108.07,47,88.7,11.31,62.96,119.85,27.2,"Utica FM","Potage",2,70400,0.38,0.088,0.00089,3.4,0.00014,0.0017,24000,0.00067,0.75,0.0015,2.1e-05,0.38,0.00018,0.0013,15,189.08,0.0064,0.00014
6147.6,7.81,30.56,2.46,0.001,4.93,2.67,1.37,1.21,0.02,0.12,5.7,10,12.05,125,73.12,89.46,23.68,54.44,134.7,36.75,"Utica FM","Potage",1,78100,0.31,0.18,7e-04,3.9,0.00013,0.0017,31000,0.00094,0.63,0.0016,7.3e-05,0.34,0.00015,0.0011,25,230.48,0.017,0.00013
6148,8.62,29,2.77,0.56,5.09,2.18,1.7,2.59,0.01,0.11,9.71,233.59,15.85,132.4,39.52,91.16,9.49,56.54,142.92,41.78,"Utica FM","Potage",1,86200,0.32,0.2,0.00066,3.4,0.065,0.0017,52,0.00046,0.59,0.0015,0.00011,0.25,0.00018,0.0011,11,209.08,0.0039,0.0027
6148.6,7.82,27.61,2.64,0.001,5.8,3.88,1.03,1.27,0.01,0.11,14.92,10,16.475,162.65,56.26,90.23,7.86,132.74,153.42,68.08,"Utica FM","Potage",1,78200,0.34,0.13,0.0017,3.5,0.00013,0.002,28000,0.00072,0.74,0.0021,0.00019,0.5,0.00021,0.0012,22,205.48,0.0079,0.00013
6149,8.2,27.86,2.7,0.56,5.15,2.39,1.38,2.65,0.02,0.05,6.91,208.75,17.1,123.25,57.09,74.89,8.18,51.04,131.22,50.46,"Utica FM","Potage",1,82000,0.33,0.17,0.00062,3.4,0.068,0.0016,50,7e-04,0.63,0.0015,8.4e-05,0.29,0.00021,0.00091,11,212.72,0.0075,0.0025
6149.6,7.55,26.76,2.28,0.46,4.88,2.42,1.44,5.72,0.02,0.11,13.34,194.6,17.54,136.25,64.71,81.77,7.78,49.67,124.85,53.67,"Utica FM","Potage",1,75500,0.3,0.19,0.00066,3.5,0.061,0.0017,58,0.00086,0.65,0.0018,0.00018,0.32,0.00023,0.0011,4.7,207.92,0.0035,0.0026
6150,8.09,27.35,2.42,0.97,5.24,3.12,1.54,3.34,0.02,0.27,14.34,10,13.81,137.35,124.48,71.62,9.66,54.37,117.3,73.14,"Utica FM","Potage",1,80900,0.3,0.19,0.00067,3.4,0.12,0.0014,28,0.0015,0.65,0.0017,0.00018,0.39,0.00017,0.00089,8.2,187.84,0.006,0.00012
