"Depth_ft","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Formation","Core","chemofacies","Al_ppm","K/Al","Mg/Al","Rb/Al","Si/Al","Ti/Al","Zr/Al","Si/Ti","Cu/Al","Fe/Al","Ni/Al","Mo/Al","S/Al","U/Al","Zn/Al","Si/Ca","SGR","Sr/Ca","V/Al"
6283,5.51,19.77,1.92,0.35,2.87,1.42,1.45,14.45,0.06,0.07,1.5,105.64,14.79625,109.03,46.16,60.66,11.01,37.85,123.54,12.72,"Utica FM","Potage",2,55100,0.35,0.26,0.00069,3.6,0.064,0.0022,56,0.00084,0.52,0.002,2.7e-05,0.26,0.00027,0.0011,1.4,193.13,0.0042,0.0019
6283.6,4.58,19.35,1.58,0.31,2.87,1.35,0.95,14.57,0.07,0.1,1.5,95.26,14.83,94.57,42.69,66.25,7.91,32.22,141.71,9.44,"Utica FM","Potage",2,45800,0.34,0.21,7e-04,4.2,0.068,0.0031,62,0.00093,0.63,0.0021,3.3e-05,0.29,0.00032,0.0014,1.3,175.56,0.0048,0.0021
6284,5.67,19.02,2.05,1.72,2.73,0.94,1.43,9.36,0.05,0.02,1.5,10,12.65,109.8,38.74,46.22,11.22,111.11,137.37,10.5,"Utica FM","Potage",2,56700,0.36,0.25,0.002,3.4,0.3,0.0024,11,0.00068,0.48,0.0019,2.6e-05,0.17,0.00022,0.00082,2,178.88,0.0053,0.00018
6284.6,3.34,12.31,1.01,0.001,2.41,1.01,0.3,25.51,0.12,0.06,1.5,10,11.56,104.9,7.5,55.5,6.49,24.17,79.66,10.59,"Utica FM","Potage",4,33400,0.3,0.09,0.00072,3.7,3e-04,0.0024,12000,0.00022,0.72,0.0031,4.5e-05,0.3,0.00035,0.0017,0.48,134.6,0.0047,3e-04
6285,5.6,21.26,1.97,0.001,2.82,0.92,0.76,11.76,0.05,0.08,1.5,10,11.015,93.68,34.16,70.76,8.45,99.3,139.06,9.96,"Utica FM","Potage",2,56000,0.35,0.14,0.0018,3.8,0.00018,0.0025,21000,0.00061,0.5,0.0017,2.7e-05,0.16,2e-04,0.0013,1.8,153.44,0.0043,0.00018
6285.6,6.49,23.2,2.07,0.41,2.73,1.05,1.26,10.43,0.05,0.18,1.5,105.82,10.7425,100.89,34.31,79.68,14.99,43.22,162.83,14.32,"Utica FM","Potage",2,64900,0.32,0.19,0.00067,3.6,0.063,0.0025,57,0.00053,0.42,0.0016,2.3e-05,0.16,0.00017,0.0012,2.2,179.02,0.0048,0.0016
6286,5.29,19.22,1.69,2.22,2.53,0.88,0.97,11.76,0.05,0.02,1.5,10,10.47,97.55,35.43,64.8,10.72,39.99,108.35,5,"Utica FM","Potage",2,52900,0.32,0.18,0.00076,3.6,0.42,0.002,8.7,0.00067,0.48,0.0018,2.8e-05,0.17,2e-04,0.0012,1.6,153.68,0.0043,0.00019
6286.6,5.21,20.97,1.63,0.001,2.54,1,0.91,15.05,0.05,0.14,1.5,10,12.22,94.72,33.95,53.32,29.07,34.99,119.68,12.11,"Utica FM","Potage",2,52100,0.31,0.17,0.00067,4,0.00019,0.0023,21000,0.00065,0.49,0.0018,2.9e-05,0.19,0.00023,0.001,1.4,240.12,0.0033,0.00019
6287,4.94,20.69,1.64,0.38,2.95,1.67,0.79,13.94,0.06,0.1,1.5,91.06,9.71,124.43,27.39,75.84,8.05,34.58,156.34,14.71,"Utica FM","Potage",2,49400,0.33,0.16,7e-04,4.2,0.077,0.0032,54,0.00055,0.6,0.0025,3e-05,0.34,2e-04,0.0015,1.5,136.12,0.0043,0.0018
6287.6,2.31,9.13,0.57,0.001,5.21,5.21,1.08,29.82,0.17,0.12,1.5,10,10.055,98.02,43.99,80.67,8.705,37.41,100.58,5,"Utica FM","Potage",2,23100,0.25,0.47,0.0016,4,0.00043,0.0044,9100,0.0019,2.3,0.0042,6.5e-05,2.3,0.00044,0.0035,0.31,124.38,0.0057,0.00043
6288,5.27,19.35,1.63,0.85,3.09,1.81,0.56,14.94,0.07,0.09,1.5,82.3,10.4,110.59,36.15,68.54,9.36,36.54,134.45,14.96,"Utica FM","Potage",2,52700,0.31,0.11,0.00069,3.7,0.16,0.0026,23,0.00069,0.59,0.0021,2.8e-05,0.34,2e-04,0.0013,1.3,146.72,0.0047,0.0016
6288.6,5.66,20.88,1.85,0.001,2.93,1.49,0.71,13.38,0.06,0.12,1.5,10,10.78,107.84,31.95,54.1,8.85,38.23,110.42,12.32,"Utica FM","Potage",2,56600,0.33,0.13,0.00068,3.7,0.00018,0.002,21000,0.00056,0.52,0.0019,2.7e-05,0.26,0.00019,0.00096,1.6,151.24,0.0045,0.00018
6289,5.69,21.84,1.61,0.74,2.76,1.15,1.17,14.2,0.06,0.06,1.5,77.91,12.6,84.89,29.74,52.2,9.34,35.21,120.29,8.46,"Utica FM","Potage",2,56900,0.28,0.21,0.00062,3.8,0.13,0.0021,30,0.00052,0.49,0.0015,2.6e-05,0.2,0.00022,0.00092,1.5,163.92,0.0042,0.0014
6289.6,5.7,22.01,1.87,0.38,2.76,1.14,1,12.97,0.06,0.09,1.5,111.98,14.42,95.48,35.02,51.39,22.74,37.69,142.61,13.25,"Utica FM","Potage",2,57000,0.33,0.18,0.00066,3.9,0.067,0.0025,58,0.00061,0.48,0.0017,2.6e-05,0.2,0.00025,9e-04,1.7,236.24,0.0046,0.002
6290,5.39,19.14,1.8,1.06,2.68,1.01,0.88,13.08,0.06,0.02,1.5,10,12.81,97.32,41.82,81.05,12.19,93.43,134.17,10.25,"Utica FM","Potage",2,53900,0.33,0.16,0.0017,3.6,0.2,0.0025,18,0.00078,0.5,0.0018,2.8e-05,0.19,0.00024,0.0015,1.5,180.04,0.0046,0.00019
6290.6,3.62,16.83,1.47,0.3,2.67,0.96,0.3,16.98,0.07,0.09,1.5,70.65,12.005,95.65,29.85,65.74,7.71,32.25,139.14,11.25,"Utica FM","Potage",2,36200,0.41,0.083,0.00089,4.6,0.083,0.0038,56,0.00082,0.74,0.0026,4.1e-05,0.27,0.00033,0.0018,0.99,150.4,0.0041,0.002
6291,4.86,20.01,1.63,0.35,2.63,0.92,1.01,15.46,0.06,0.11,1.5,84.27,11.6025,107.71,27.73,42.73,8.56,33.5,144.69,9.67,"Utica FM","Potage",2,48600,0.34,0.21,0.00069,4.1,0.072,0.003,57,0.00057,0.54,0.0022,3.1e-05,0.19,0.00024,0.00088,1.3,153.14,0.0039,0.0017
6291.6,6.48,23.76,2.13,0.001,2.84,1.03,0.65,10.36,0.04,0.08,1.5,10,11.40125,77.33,26.22,106.62,7.83,42.83,122.11,11.65,"Utica FM","Potage",2,64800,0.33,0.1,0.00066,3.7,0.00015,0.0019,24000,4e-04,0.44,0.0012,2.3e-05,0.16,0.00018,0.0016,2.3,156.61,0.0039,0.00015
6292,6.01,23.39,2.04,0.001,2.9,1.16,1.14,10.31,0.04,0.05,1.5,10,11.300625,94.99,37.09,56.08,8.08,101.56,166.88,14.3,"Utica FM","Potage",2,60100,0.34,0.19,0.0017,3.9,0.00017,0.0028,23000,0.00062,0.48,0.0016,2.5e-05,0.19,0.00019,0.00093,2.3,155.365,0.0039,0.00017
6292.6,6.63,23.83,2.27,0.001,2.94,1.08,1.18,8.8,0.04,0.02,1.5,10,11.2503125,101.77,37.19,53.47,10.76,115.01,138.2,12.61,"Utica FM","Potage",2,66300,0.34,0.18,0.0017,3.6,0.00015,0.0021,24000,0.00056,0.44,0.0015,2.3e-05,0.16,0.00017,0.00081,2.7,169.3625,0.0045,0.00015
6293,5.41,19.89,1.79,0.001,3.04,1.44,0.64,15.14,0.06,0.05,1.5,10,11.22515625,117.5,39.28,59.06,10.08,102.68,123.85,12.24,"Utica FM","Potage",2,54100,0.33,0.12,0.0019,3.7,0.00018,0.0023,20000,0.00073,0.56,0.0022,2.8e-05,0.27,0.00021,0.0011,1.3,158.76125,0.004,0.00018
6293.6,6.49,23.15,2.11,0.4,2.9,1.25,0.98,10.87,0.05,0.02,1.5,107.71,11.212578125,91.54,30.19,48.71,32.52,43.53,119.58,14.82,"Utica FM","Potage",2,64900,0.33,0.15,0.00067,3.6,0.062,0.0018,58,0.00047,0.45,0.0014,2.3e-05,0.19,0.00017,0.00075,2.1,253.540625,0.0046,0.0017
6294,4.16,13.4,1.56,0.17,2.25,0.98,0.3,28.64,0.11,0.05,1.5,42.39,11.2062890625,109.38,7.5,67.47,5.36,21.67,86.82,8.41,"Utica FM","Potage",4,41600,0.38,0.072,0.00052,3.2,0.041,0.0021,79,0.00018,0.54,0.0026,3.6e-05,0.24,0.00027,0.0016,0.47,136.0503125,0.0038,0.001
6294.6,5.35,19.86,1.66,0.33,2.67,1.04,1.34,16.03,0.07,0.08,1.5,109.77,11.20314453125,104.95,35.34,73.42,7.96,35.3,126.25,8.46,"Utica FM","Potage",2,53500,0.31,0.25,0.00066,3.7,0.062,0.0024,60,0.00066,0.5,0.002,2.8e-05,0.19,0.00021,0.0014,1.2,148.02515625,0.0044,0.0021
6295,5.37,19.85,1.77,0.34,2.99,1.37,1.38,15.23,0.06,0.12,1.5,101.88,11.2,111.94,31.21,63.82,9.88,35.76,144.34,13.47,"Utica FM","Potage",2,53700,0.33,0.26,0.00067,3.7,0.063,0.0027,58,0.00058,0.56,0.0021,2.8e-05,0.26,0.00021,0.0012,1.3,157.44,0.0039,0.0019
6295.6,6.2,21.13,2,0.37,2.91,1.07,1.45,13.56,0.06,0.11,1.5,103.6,10.865,97.87,45.85,95.12,10.54,40.5,133.47,10.44,"Utica FM","Potage",2,62000,0.32,0.23,0.00065,3.4,0.06,0.0022,57,0.00074,0.47,0.0016,2.4e-05,0.17,0.00018,0.0015,1.6,161.08,0.0044,0.0017
6296,6.3,21.15,2.03,1.53,3.02,1.37,1.18,11.08,0.05,0.02,1.5,118.69,10.6975,96.08,42.13,71.99,9.91,42.93,145.12,14.9,"Utica FM","Potage",2,63000,0.32,0.19,0.00068,3.4,0.24,0.0023,14,0.00067,0.48,0.0015,2.4e-05,0.22,0.00017,0.0011,1.9,157.7,0.0045,0.0019
6296.6,6.39,22.53,2.1,0.39,2.94,1.26,1.02,11.86,0.05,0.08,1.5,111.63,10.53,106.78,21.25,74.74,8.28,41.47,136.23,14.87,"Utica FM","Potage",2,63900,0.33,0.16,0.00065,3.5,0.061,0.0021,58,0.00033,0.46,0.0017,2.3e-05,0.2,0.00016,0.0012,1.9,150.96,0.0042,0.0017
6297,5.8,21.15,1.92,0.001,2.93,1.38,1.14,12.3,0.05,0.07,1.5,10,11.075,78.52,26.56,63.3,8.49,101.16,120.47,16.29,"Utica FM","Potage",2,58000,0.33,0.2,0.0017,3.6,0.00017,0.0021,21000,0.00046,0.51,0.0014,2.6e-05,0.24,0.00019,0.0011,1.7,153.28,0.0041,0.00017
6297.6,6.34,22.27,2.08,0.001,3.04,1.51,0.71,12.42,0.04,0.02,1.5,10,11.62,95.35,40.11,49.72,11.73,43.47,113.25,12.41,"Utica FM","Potage",2,63400,0.33,0.11,0.00069,3.5,0.00016,0.0018,22000,0.00063,0.48,0.0015,2.4e-05,0.24,0.00018,0.00078,1.8,173.16,0.0032,0.00016
6298,5.35,21.02,2.02,0.001,2.8,1.13,0.71,13.17,0.05,0.02,1.5,10,12.06,69.15,48.27,34.38,7.82,39.77,103.75,12.7,"Utica FM","Potage",2,53500,0.38,0.13,0.00074,3.9,0.00019,0.0019,21000,9e-04,0.52,0.0013,2.8e-05,0.21,0.00023,0.00064,1.6,160.08,0.0038,0.00019
6298.6,6.39,23.03,1.96,0.001,2.87,1.25,1.21,12.98,0.05,0.02,1.5,10,13.01,108.53,27.21,40.5,11.06,99.48,132.28,14.43,"Utica FM","Potage",2,63900,0.31,0.19,0.0016,3.6,0.00016,0.0021,23000,0.00043,0.45,0.0017,2.3e-05,0.2,2e-04,0.00063,1.8,179.68,0.0039,0.00016
6299,5.67,21.26,1.92,0.001,2.92,1.19,1.09,12.85,0.06,0.03,1.5,10,13.485,85.51,46.38,40.58,7.1,97.55,137.17,9.33,"Utica FM","Potage",2,56700,0.34,0.19,0.0017,3.7,0.00018,0.0024,21000,0.00082,0.51,0.0015,2.6e-05,0.21,0.00024,0.00072,1.7,167,0.0047,0.00018
6299.6,6.13,22.32,2.05,0.001,3.03,1.24,1.33,10.83,0.04,0.05,1.5,10,13.7225,105.48,44.14,54.56,11.31,43.47,104.17,13.99,"Utica FM","Potage",2,61300,0.33,0.22,0.00071,3.6,0.00016,0.0017,22000,0.00072,0.49,0.0017,2.4e-05,0.2,0.00022,0.00089,2.1,187.82,0.0037,0.00016
6300,6.17,20.87,1.86,1.66,2.76,1.01,1.42,12,0.04,0.02,1.5,10,13.96,102.89,26.75,66.88,8.71,42.45,106.93,8.91,"Utica FM","Potage",2,61700,0.3,0.23,0.00069,3.4,0.27,0.0017,13,0.00043,0.45,0.0017,2.4e-05,0.16,0.00023,0.0011,1.7,176.28,0.0033,0.00016
6300.6,6.57,22.51,1.98,0.001,2.86,1.12,1.56,12.91,0.05,0.06,1.5,10,11.91,105.31,59.57,45.16,10.57,41.74,107.99,11.73,"Utica FM","Potage",2,65700,0.3,0.24,0.00064,3.4,0.00015,0.0016,23000,0.00091,0.44,0.0016,2.3e-05,0.17,0.00018,0.00069,1.7,169.24,0.0039,0.00015
6301,7.12,23.51,2.17,0.001,3.1,1.37,1.56,11.72,0.05,0.04,1.5,10,9.14,91.39,34.67,43.75,8.48,105.56,133.57,9.06,"Utica FM","Potage",2,71200,0.3,0.22,0.0015,3.3,0.00014,0.0019,24000,0.00049,0.44,0.0013,2.1e-05,0.19,0.00013,0.00061,2,141.76,0.0043,0.00014
6301.6,4.92,19.16,1.61,0.001,3.06,1.48,0.3,15.94,0.06,0.07,1.5,10,7.755,98.48,31.57,35.73,7,99.06,124.96,14.8,"Utica FM","Potage",2,49200,0.33,0.061,0.002,3.9,2e-04,0.0025,19000,0.00064,0.62,0.002,3e-05,0.3,0.00016,0.00073,1.2,115.8,0.0038,2e-04
6302,5.01,20.73,1.93,0.001,2.75,1.18,0.91,11.96,0.06,0.06,1.5,10,7.0625,73.55,31.27,45.85,10.75,100.75,121.73,9.61,"Utica FM","Potage",2,50100,0.39,0.18,0.002,4.1,2e-04,0.0024,21000,0.00062,0.55,0.0015,3e-05,0.24,0.00014,0.00092,1.7,130.38,0.005,2e-04
6302.6,5.9,21.25,1.76,0.001,3.14,1.65,1.55,14.97,0.05,0.08,1.5,10,6.71625,110.8,45.02,37.87,6.91,38.59,103.33,15.29,"Utica FM","Potage",2,59000,0.3,0.26,0.00065,3.6,0.00017,0.0018,21000,0.00076,0.53,0.0019,2.5e-05,0.28,0.00011,0.00064,1.4,109.53,0.0033,0.00017
6303,6.63,24.21,2.08,0.001,3.09,1.46,1,10.13,0.05,0.02,1.5,10,6.543125,97.95,34.72,23.8,11.84,107.72,136.17,14.27,"Utica FM","Potage",2,66300,0.31,0.15,0.0016,3.7,0.00015,0.0021,24000,0.00052,0.47,0.0015,2.3e-05,0.22,9.9e-05,0.00036,2.4,132.985,0.0049,0.00015
6303.6,3.63,15.64,0.99,0.001,2.36,0.81,0.85,23.49,0.12,0.19,1.5,10,6.4565625,101.08,7.5,49.93,30.1,21.55,80.37,8.72,"Utica FM","Potage",4,36300,0.27,0.23,0.00059,4.3,0.00028,0.0022,16000,0.00021,0.65,0.0028,4.1e-05,0.22,0.00018,0.0014,0.67,187.8925,0.0051,0.00028
6304,7.11,24.7,2.24,0.43,3.05,1.34,1.35,10.02,0.05,0.09,1.5,123.58,6.37,93.81,27.71,46.19,10.09,45.07,127.23,12.56,"Utica FM","Potage",2,71100,0.32,0.19,0.00063,3.5,0.06,0.0018,57,0.00039,0.43,0.0013,2.1e-05,0.19,9e-05,0.00065,2.5,127.16,0.005,0.0017
6304.6,5.29,20.77,1.57,0.001,2.89,1.52,1.14,17.24,0.07,0.06,1.5,10,9.43,79.1,36.86,42.68,5.85,82.21,113.97,10.44,"Utica FM","Potage",2,52900,0.3,0.22,0.0016,3.9,0.00019,0.0022,21000,7e-04,0.55,0.0015,2.8e-05,0.29,0.00018,0.00081,1.2,123.96,0.0041,0.00019
6305,5.37,22.12,1.85,0.34,2.78,1.15,1.33,12,0.05,0.08,1.5,87.37,10.96,84.33,30.63,45.8,10.36,40.55,128,10.12,"Utica FM","Potage",2,53700,0.34,0.25,0.00076,4.1,0.063,0.0024,65,0.00057,0.52,0.0016,2.8e-05,0.21,2e-04,0.00085,1.8,158.72,0.0042,0.0016
6305.6,6.37,23.32,2,0.39,2.92,1.4,1.68,11.57,0.06,0.12,1.5,116.24,12.49,109.33,44.26,48.4,8.06,42.47,126.39,10.49,"Utica FM","Potage",2,63700,0.31,0.26,0.00067,3.7,0.061,0.002,60,0.00069,0.46,0.0017,2.4e-05,0.22,2e-04,0.00076,2,164.16,0.0052,0.0018
6306,5.48,20.42,1.69,0.001,2.83,1.22,1.31,15.32,0.06,0.1,1.5,10,12.505,94.17,32.12,37.1,8.67,85.82,116.87,16.9,"Utica FM","Potage",2,54800,0.31,0.24,0.0016,3.7,0.00018,0.0021,20000,0.00059,0.52,0.0017,2.7e-05,0.22,0.00023,0.00068,1.3,161.76,0.0039,0.00018
6306.6,5.01,21.11,1.55,0.001,3.09,1.93,1.31,16.5,0.07,0.09,5.75,10,12.5125,122.14,43.03,40.32,7.04,78.56,123.92,18.4,"Utica FM","Potage",2,50100,0.31,0.26,0.0016,4.2,2e-04,0.0025,21000,0.00086,0.62,0.0024,0.00011,0.39,0.00025,8e-04,1.3,153.06,0.0042,2e-04
6307,5.91,22.76,1.85,0.35,3.05,1.98,1.32,13.38,0.07,0.03,1.5,101,12.52,98.02,51.16,41.32,9.27,37.5,122.74,12.52,"Utica FM","Potage",2,59100,0.31,0.22,0.00063,3.9,0.059,0.0021,65,0.00087,0.52,0.0017,2.5e-05,0.34,0.00021,7e-04,1.7,166.84,0.0052,0.0017
6307.6,6.18,24.35,1.89,0.38,3.42,2.33,1.11,11.2,0.06,0.02,1.5,106.97,12.55,120.26,50.41,35.72,8.66,40.2,131.72,14.5,"Utica FM","Potage",2,61800,0.31,0.18,0.00065,3.9,0.061,0.0021,64,0.00082,0.55,0.0019,2.4e-05,0.38,2e-04,0.00058,2.2,165.28,0.0054,0.0017
6308,6.01,23.55,1.9,0.37,2.79,1.37,1.41,12.42,0.05,0.07,1.5,98.14,12.445,100.62,27.91,32.63,11.18,40.08,121.1,13.98,"Utica FM","Potage",2,60100,0.32,0.23,0.00067,3.9,0.062,0.002,64,0.00046,0.46,0.0017,2.5e-05,0.23,0.00021,0.00054,1.9,174.68,0.004,0.0016
6308.6,5.73,23.37,1.83,0.001,2.66,1.43,1.76,13.43,0.06,0.11,1.5,10,12.3925,123.63,7.5,48.56,9.12,92.32,120.88,14.39,"Utica FM","Potage",2,57300,0.32,0.31,0.0016,4.1,0.00017,0.0021,23000,0.00013,0.46,0.0022,2.6e-05,0.25,0.00022,0.00085,1.7,164.9,0.0045,0.00017
6309,6.04,24.67,1.82,0.35,2.83,1.53,1.72,11.6,0.05,0.1,1.5,98.63,12.34,90.96,49.96,71.44,9.2,39.28,127.84,14.36,"Utica FM","Potage",2,60400,0.3,0.28,0.00065,4.1,0.058,0.0021,70,0.00083,0.47,0.0015,2.5e-05,0.25,2e-04,0.0012,2.1,164.64,0.0043,0.0016
6309.6,6.02,24.82,1.98,0.001,2.86,1.6,1.28,10.4,0.04,0.06,1.5,10,11.69,101.96,30.76,43.29,7.3,42.2,94.05,11.97,"Utica FM","Potage",2,60200,0.33,0.21,7e-04,4.1,0.00017,0.0016,25000,0.00051,0.48,0.0017,2.5e-05,0.27,0.00019,0.00072,2.4,154.4,0.0038,0.00017
6310,6.08,24.25,1.95,0.56,2.85,1.36,0.92,10.32,0.05,0.06,1.5,108.48,12.2,100.83,41.45,73.17,10.76,41.63,135.02,10.25,"Utica FM","Potage",2,60800,0.32,0.15,0.00068,4,0.092,0.0022,43,0.00068,0.47,0.0017,2.5e-05,0.22,2e-04,0.0012,2.3,171.84,0.0048,0.0018
6310.6,5.84,23.97,1.82,0.001,2.81,1.45,1.15,11.77,0.05,0.07,1.5,10,11.65,110.33,31.54,66.14,24.34,39.39,107.32,12.7,"Utica FM","Potage",2,58400,0.31,0.2,0.00067,4.1,0.00017,0.0018,24000,0.00054,0.48,0.0019,2.6e-05,0.25,2e-04,0.0011,2,219.68,0.0042,0.00017
6311,6.41,25.61,2.13,0.43,3.01,1.49,1.49,8.45,0.04,0.03,1.5,135.72,12.74,106.43,44.95,58.57,14.6,45.04,138.22,12.36,"Utica FM","Potage",2,64100,0.33,0.23,7e-04,4,0.067,0.0022,60,7e-04,0.47,0.0017,2.3e-05,0.23,2e-04,0.00091,3,194.4,0.0047,0.0021
6311.6,6.41,25.61,2.13,0.43,3.01,1.49,1.49,8.45,0.04,0.03,1.5,135.72,12.74,106.43,44.95,58.57,14.6,45.04,138.22,12.36,"Utica FM","Potage",2,64100,0.33,0.23,7e-04,4,0.067,0.0022,60,7e-04,0.47,0.0017,2.3e-05,0.23,2e-04,0.00091,3,194.4,0.0047,0.0021
6312,5.51,24.55,1.78,0.001,2.79,1.56,1.35,12.33,0.05,0.07,1.5,10,13.35,102.16,35.43,35.45,25.12,38.11,99.69,8.78,"Utica FM","Potage",2,55100,0.32,0.25,0.00069,4.5,0.00018,0.0018,25000,0.00064,0.51,0.0019,2.7e-05,0.28,0.00024,0.00064,2,235.76,0.0041,0.00018
6312.6,5.51,24.55,1.78,0.001,2.79,1.56,1.35,12.33,0.05,0.07,1.5,10,13.35,102.16,35.43,35.45,25.12,38.11,99.69,8.78,"Utica FM","Potage",2,55100,0.32,0.25,0.00069,4.5,0.00018,0.0018,25000,0.00064,0.51,0.0019,2.7e-05,0.28,0.00024,0.00064,2,235.76,0.0041,0.00018
6313,4.86,22.34,1.57,0.29,2.61,1.3,0.99,15.08,0.07,0.1,4,87,11.73,108,44.69,44.56,8.53,33.17,113.35,10.12,"Utica FM","Potage",2,48600,0.32,0.2,0.00068,4.6,0.06,0.0023,77,0.00092,0.54,0.0022,8.2e-05,0.27,0.00024,0.00092,1.5,153.08,0.0046,0.0018
6313.6,4.86,22.34,1.57,0.29,2.61,1.3,0.99,15.08,0.07,0.1,4,87,11.73,108,44.69,44.56,8.53,33.17,113.35,10.12,"Utica FM","Potage",2,48600,0.32,0.2,0.00068,4.6,0.06,0.0023,77,0.00092,0.54,0.0022,8.2e-05,0.27,0.00024,0.00092,1.5,153.08,0.0046,0.0018
6314,5.63,24.07,1.71,0.33,2.58,1.36,1.07,13.15,0.05,0.08,1.5,110.42,10.11,93.75,45.18,33.99,7,39.29,122.36,9.34,"Utica FM","Potage",2,56300,0.3,0.19,7e-04,4.3,0.059,0.0022,73,8e-04,0.46,0.0017,2.7e-05,0.24,0.00018,6e-04,1.8,136.24,0.0038,0.002
6314.6,5.63,24.07,1.71,0.33,2.58,1.36,1.07,13.15,0.05,0.08,1.5,110.42,10.11,93.75,45.18,33.99,7,39.29,122.36,9.34,"Utica FM","Potage",2,56300,0.3,0.19,7e-04,4.3,0.059,0.0022,73,8e-04,0.46,0.0017,2.7e-05,0.24,0.00018,6e-04,1.8,136.24,0.0038,0.002
6315,6.63,27.51,1.98,0.39,2.98,1.92,1.02,10.14,0.04,0.02,3.6,120.3,9.04,106.56,27.99,31.89,7.54,41.82,120.72,14.38,"Utica FM","Potage",2,66300,0.3,0.15,0.00063,4.1,0.059,0.0018,71,0.00042,0.45,0.0016,5.4e-05,0.29,0.00014,0.00048,2.7,134.16,0.0039,0.0018
6315.6,6.63,27.51,1.98,0.39,2.98,1.92,1.02,10.14,0.04,0.02,3.6,120.3,9.04,106.56,27.99,31.89,7.54,41.82,120.72,14.38,"Utica FM","Potage",2,66300,0.3,0.15,0.00063,4.1,0.059,0.0018,71,0.00042,0.45,0.0016,5.4e-05,0.29,0.00014,0.00048,2.7,134.16,0.0039,0.0018
6316,5.15,23.02,1.41,0.29,2.4,1.29,1.44,17.39,0.06,0.06,1.5,66.52,13.11,105.48,32.81,32.18,5.68,28.19,116.66,12.92,"Utica FM","Potage",2,51500,0.27,0.28,0.00055,4.5,0.056,0.0023,79,0.00064,0.47,0.002,2.9e-05,0.25,0.00025,0.00062,1.3,150.16,0.0035,0.0013
6316.6,5.15,23.02,1.41,0.29,2.4,1.29,1.44,17.39,0.06,0.06,1.5,66.52,13.11,105.48,32.81,32.18,5.68,28.19,116.66,12.92,"Utica FM","Potage",2,51500,0.27,0.28,0.00055,4.5,0.056,0.0023,79,0.00064,0.47,0.002,2.9e-05,0.25,0.00025,0.00062,1.3,150.16,0.0035,0.0013
6317,5.89,25.96,1.9,0.37,2.35,1.09,0.91,11.23,0.05,0.12,1.5,100.46,13.87,115.98,35.25,37.15,9.14,38.7,127.89,12.81,"Utica FM","Potage",2,58900,0.32,0.15,0.00066,4.4,0.063,0.0022,70,6e-04,0.4,0.002,2.5e-05,0.19,0.00024,0.00063,2.3,177.92,0.0045,0.0017
6317.6,5.89,25.96,1.9,0.37,2.35,1.09,0.91,11.23,0.05,0.12,1.5,100.46,13.87,115.98,35.25,37.15,9.14,38.7,127.89,12.81,"Utica FM","Potage",2,58900,0.32,0.15,0.00066,4.4,0.063,0.0022,70,6e-04,0.4,0.002,2.5e-05,0.19,0.00024,0.00063,2.3,177.92,0.0045,0.0017
6318,5.54,25.03,1.64,0.001,2.32,1.6,0.53,16.17,0.09,0.13,1.5,10,11.35,94.78,7.5,31.81,23.63,32.3,81.8,13.42,"Utica FM","Potage",2,55400,0.3,0.096,0.00058,4.5,0.00018,0.0015,25000,0.00014,0.42,0.0017,2.7e-05,0.29,2e-04,0.00057,1.5,211.56,0.0056,0.00018
6318.6,5.54,25.03,1.64,0.001,2.32,1.6,0.53,16.17,0.09,0.13,1.5,10,11.35,94.78,7.5,31.81,23.63,32.3,81.8,13.42,"Utica FM","Potage",2,55400,0.3,0.096,0.00058,4.5,0.00018,0.0015,25000,0.00014,0.42,0.0017,2.7e-05,0.29,2e-04,0.00057,1.5,211.56,0.0056,0.00018
6319,4.03,18.85,1.13,0.001,2.11,0.97,1.46,22.7,0.09,0.1,1.5,10,10.09,95.06,32.6,35.04,20.06,23.63,63.47,9.24,"Utica FM","Potage",4,40300,0.28,0.36,0.00059,4.7,0.00025,0.0016,19000,0.00081,0.52,0.0024,3.7e-05,0.24,0.00025,0.00087,0.83,179.04,0.004,0.00025
6319.6,4.03,18.85,1.13,0.001,2.11,0.97,1.46,22.7,0.09,0.1,1.5,10,10.09,95.06,32.6,35.04,20.06,23.63,63.47,9.24,"Utica FM","Potage",4,40300,0.28,0.36,0.00059,4.7,0.00025,0.0016,19000,0.00081,0.52,0.0024,3.7e-05,0.24,0.00025,0.00087,0.83,179.04,0.004,0.00025
6320,5.57,23.6,1.6,0.27,2.29,1.25,2.12,16.28,0.09,0.1,1.5,80.89,9.46,112.72,26.51,85.49,5.21,32.3,100.79,10.56,"Utica FM","Potage",2,55700,0.29,0.38,0.00058,4.2,0.048,0.0018,87,0.00048,0.41,0.002,2.7e-05,0.22,0.00017,0.0015,1.4,122.12,0.0055,0.0015
6320.6,5.57,23.6,1.6,0.27,2.29,1.25,2.12,16.28,0.09,0.1,1.5,80.89,9.46,112.72,26.51,85.49,5.21,32.3,100.79,10.56,"Utica FM","Potage",2,55700,0.29,0.38,0.00058,4.2,0.048,0.0018,87,0.00048,0.41,0.002,2.7e-05,0.22,0.00017,0.0015,1.4,122.12,0.0055,0.0015
