"Factor1","Factor2","WH_LAT83","WH_LONG83","Formation"
-0.860512677567986,1.71834369370386,41.7564889243739,-80.6097357188997,"PP"
-0.112780370837596,2.55013684826893,41.6219882403622,-80.8690817962599,"PP"
-0.676177984181068,-0.681951805925961,40.6713017258336,-80.9405939050095,"PP"
-0.97584988486812,0.079692747175534,40.8117538512387,-80.8541802156989,"PP"
-1.67389404183746,-0.0287653661111469,40.3063365685197,-81.7797493923495,"PP"
-0.0211498879917836,0.867186714000608,41.4526675830004,-81.1746512496008,"PP"
-3.41280331245844,0.113385948090517,41.3972100735013,-81.1428162391717,"PP"
-0.88954325334641,-1.04447967895952,40.2619089491757,-80.9661005993497,"PP"
-0.928136729848854,-1.42574734237715,39.4119852262273,-82.2910531965038,"PP"
0.493038286856024,-0.791684959192724,39.8290522208289,-81.4962542209626,"PP"
0.173239005827533,0.399000716893207,41.2076655563794,-81.1707113819709,"PP"
-0.207455406151151,-1.11651392451092,40.9532246334417,-81.262619992378,"PP"
-1.16761115677094,-0.611224837112543,40.7222632444427,-81.4871007111502,"PP"
-1.52582504976141,-0.0510833286418226,41.375496244402,-80.9938522598791,"PP"
0.358381228051917,-1.04404681506483,40.4506502378613,-81.5961539359169,"PP"
1.52133423272386,-0.603468072574409,39.4707346788607,-81.2915999510978,"PP"
0.331668944550489,-0.279677995853194,39.4259878612293,-81.8123081262249,"PP"
