"Factor1","Factor2","WH_LAT83","WH_LONG83","Formation"
-0.85951806748006,1.69303791093485,41.7564889243739,-80.6097357188997,"PP"
-0.112629841428756,2.51255183291566,41.6219882403622,-80.8690817962599,"PP"
-0.675414717102067,-0.67188361866256,40.6713017258336,-80.9405939050095,"PP"
-0.974735781506071,0.0785172806882372,40.8117538512387,-80.8541802156989,"PP"
-1.67198625016569,-0.0282789118951584,40.3063365685197,-81.7797493923495,"PP"
-0.021119882536966,0.854415247095239,41.4526675830004,-81.1746512496008,"PP"
-3.40890908038016,0.111855563386306,41.3972100735013,-81.1428162391717,"PP"
-0.888539112916286,-1.02907041776601,40.2619089491757,-80.9661005993497,"PP"
-0.927089066363301,-1.40473112679125,39.4119852262273,-82.2910531965038,"PP"
0.492469507882156,-0.780064076856954,39.8290522208289,-81.4962542209626,"PP"
0.173044905661781,0.39310701992476,41.2076655563794,-81.1707113819709,"PP"
-0.207228891586279,-1.10008448183937,40.9532246334417,-81.262619992378,"PP"
-1.16628504034278,-0.602189990891077,40.7222632444427,-81.4871007111502,"PP"
-1.52408568867655,-0.0502738489195356,41.375496244402,-80.9938522598791,"PP"
0.357963491503108,-1.0287148653191,40.4506502378613,-81.5961539359169,"PP"
1.51959544038687,-0.594619719559212,39.4707346788607,-81.2915999510978,"PP"
0.331287845565908,-0.275568794213662,39.4259878612293,-81.8123081262249,"PP"
