"Factor1","Factor2","WH_LAT83","WH_LONG83","Formation"
0.22249840669122,2.19249862634298,41.7564889243739,-80.6097357188997,"Utica"
0.367564316010814,1.85881248307883,41.6219882403622,-80.8690817962599,"Utica"
0.806019976792428,-0.426542689308969,40.6713017258336,-80.9405939050095,"Utica"
0.59353997232473,-0.292710758338077,40.8117538512387,-80.8541802156989,"Utica"
0.576009311416525,0.581921756879924,40.3063365685197,-81.7797493923495,"Utica"
1.25560450620009,0.567165862994775,41.4526675830004,-81.1746512496008,"Utica"
0.0701832787703557,1.57333809458733,41.3972100735013,-81.1428162391717,"Utica"
0.956733446256332,-0.425277105979687,40.2619089491757,-80.9661005993497,"Utica"
-0.529038629745842,-0.667920881170446,39.4119852262273,-82.2910531965038,"Utica"
0.663392801273243,-0.481704504961624,39.8290522208289,-81.4962542209626,"Utica"
0.771323057577918,0.0662229990097728,41.2076655563794,-81.1707113819709,"Utica"
0.930551894230403,-0.573955232079425,40.9532246334417,-81.262619992378,"Utica"
0.455296321728655,-0.0535737225556332,40.7222632444427,-81.4871007111502,"Utica"
0.924720275195746,0.155338449013928,41.375496244402,-80.9938522598791,"Utica"
0.671503874983655,-0.810382919805056,40.4506502378613,-81.5961539359169,"Utica"
0.642054130947862,-0.249130089239116,39.4707346788607,-81.2915999510978,"Utica"
0.185223288831013,-1.09210537070066,39.4259878612293,-81.8123081262249,"Utica"
