"API_WELLNO","WH_LONG83","WH_LAT83","CSDCODE","Cum Oil","Cum Gas","SizeCategory","PointSize","Predicted_Value"
"34111245830000",-80.840517,39.711078,"PNPL",0,7167769,"Small",1,1.34857711427874
"34111245840000",-80.84049,39.711028,"PNPL",0,6063480,"Small",1,1.34857711427874
"34111245850000",-80.840426,39.711049,"PNPL",0,6256964,"Small",1,1.34857711427874
"34111245860000",-80.937647,39.838941,"PNPL",0,12169184,"Small",1,1.26013107058403
"34111245870000",-80.937602,39.838902,"PNPL",0,10156210,"Small",1,1.26013107058403
"34111245880000",-81.282389,39.778333,"PNPL",1373,5754981,"Small",1,-0.386751965532201
"34111245890000",-81.282443,39.778342,"PNPL",1411,6092081,"Small",1,-0.386751965532201
"34111245900000",-81.282496,39.778348,"PNPL",1400,5985035,"Small",1,-0.386751965532201
"34111245910000",-80.92537,39.775985,"PNPL",0,11101123,"Small",1,1.26847153431942
"34111245920000",-80.925369,39.776048,"PNPL",0,13608927,"Small",1,1.26847153431942
"34111245960000",-80.925245,39.776184,"PNPL",0,12240843,"Small",1,1.26847153431942
"34111245990000",-80.928482,39.709598,"PNPL",0,10884613,"Small",1,1.22763701180122
"34111246010000",-80.928461,39.709587,"PNPL",0,10765351,"Small",1,1.22763701180122
"34111246030000",-80.937701,39.838906,"PNPL",0,8207362,"Small",1,1.26013107058403
"34111246040000",-80.937652,39.838864,"PNPL",0,7692100,"Small",1,1.26013107058403
"34111246050000",-81.286783,39.849269,"PNPL",9544,6481308,"Medium",2,0.123489935629357
"34111246060300",-80.908392,39.738962,"PNPL",0,11414106,"Small",1,1.31859655903941
"34111246070000",-80.908372,39.738924,"PNPL",0,8450841,"Small",1,1.31859655903941
"34111246090000",-80.925243,39.776244,"PNPL",0,11265389,"Small",1,1.26847153431942
"34111246100000",-80.925306,39.776146,"PNPL",0,9600386,"Small",1,1.26847153431942
"34111246110000",-81.255235,39.809611,"PNPL",1711,5750673,"Small",1,0.0112969500818059
"34111246120000",-81.255189,39.809597,"PNPL",1696,5895013,"Small",1,0.0112969500818059
"34111246130000",-81.255139,39.80958,"PNPL",1544,5536593,"Small",1,0.0112969500818059
"34111246140000",-81.255093,39.809563,"PNPL",2413,7811171,"Small",1,0.0112969500818059
"34111246180000",-81.069851,39.68369,"PNPL",0,4810256,"Small",1,0.855380787288435
"34111246190000",-81.189866,39.85783,"PNPL",65,11359195,"Small",1,0.601467210471747
"34111246200000",-81.237155,39.852698,"PNPL",1686,5404657,"Small",1,0.581392256801928
"34111246210000",-81.237133,39.852737,"PNPL",1725,5913027,"Small",1,0.581392256801928
"34111246220000",-81.237111,39.852775,"PNPL",1851,6326362,"Small",1,0.581392256801928
"34111246230000",-81.237093,39.85281,"PNPL",2563,8328842,"Small",1,0.581392256801928
"34111246240000",-81.177171,39.861067,"PNPL",0,8597568,"Small",1,0.601467210471747
"34111246250000",-80.882938,39.785501,"PNPL",0,6226214,"Small",1,-0.0145840952554891
"34111246260000",-80.882954,39.785567,"PNPL",0,6015499,"Small",1,-0.0145840952554891
"34111246290000",-80.882827,39.785861,"PNPL",0,7402306,"Small",1,-0.0145840952554891
"34111246300000",-80.882865,39.785741,"PNPL",0,7101502,"Small",1,-0.0145840952554891
"34111246310000",-80.882916,39.785687,"PNPL",0,8922920,"Small",1,-0.0145840952554891
"34111246330000",-80.934621,39.728769,"PNPL",0,11858813,"Small",1,1.00607711937154
"34111246340000",-80.934614,39.72875,"PNPL",0,15583842,"Small",1,1.00607711937154
"34111246360000",-80.908259,39.738867,"PNPL",0,11740457,"Small",1,1.31859655903941
"34111246410000",-80.913596,39.78034,"PNPL",0,10615071,"Small",1,1.26847153431942
"34111246440000",-80.913571,39.780334,"PNPL",0,15101465,"Small",1,1.26847153431942
"34111246450000",-81.069951,39.683834,"PNPL",0,5349062,"Small",1,0.855380787288435
"34111246490000",-81.182671,39.702945,"PNPL",0,10490711,"Small",1,-0.401091850929149
"34111246500000",-81.182598,39.703007,"PNPL",0,6841228,"Small",1,-0.401091850929149
"34111246510000",-81.182634,39.702978,"PNPL",0,5933226,"Small",1,-0.401091850929149
"34111246520000",-81.182493,39.7031,"PNPL",0,8669811,"Small",1,-0.401091850929149
"34111246530000",-81.182562,39.703037,"PNPL",0,5307193,"Small",1,-0.401091850929149
"34111246540000",-81.18253,39.70307,"PNPL",0,5692873,"Small",1,-0.401091850929149
"34111246550000",-81.051207,39.648202,"PNPL",0,9367636,"Small",1,0.736152792858768
"34111246610000",-80.916005,39.764546,"PNPL",0,6816774,"Small",1,1.26847153431942
"34111246620000",-80.916079,39.764567,"PNPL",0,8137010,"Small",1,1.26847153431942
"34111246630000",-80.91603,39.764555,"PNPL",0,9238751,"Small",1,1.26847153431942
"34111246640000",-81.170023,39.677605,"PNPL",0,13535646,"Small",1,0.548966850255491
"34111246650000",-80.882878,39.785807,"PNPL",0,8913907,"Small",1,-0.0145840952554891
"34111246670000",-81.171102,39.866218,"PNPL",0,8776444,"Small",1,0.601467210471747
"34111246680000",-81.078876,39.73394,"PNPL",0,6168529,"Small",1,-0.279661928206256
"34111246720000",-80.942293,39.823309,"PNPL",0,12538,"Small",1,1.26013107058403
"34111246730000",-80.942249,39.823355,"PNPL",0,12488477,"Small",1,1.26013107058403
"34111246740000",-80.942193,39.823321,"PNPL",0,10122623,"Small",1,1.26013107058403
"34111246750000",-80.942236,39.823278,"PNPL",0,9604020,"Small",1,1.26013107058403
"34111246770000",-81.078867,39.734022,"PNPL",0,5450882,"Small",1,-0.279661928206256
"34111246820000",-80.882907,39.785621,"PNPL",0,5129541,"Small",1,-0.0145840952554891
"34111246840000",-80.944962,39.824656,"PNPL",0,8363155,"Small",1,1.26013107058403
"34111246850000",-80.944898,39.824631,"PNPL",0,8702465,"Small",1,1.26013107058403
"34111246860000",-80.944771,39.82458,"PNPL",0,12850782,"Small",1,1.26013107058403
