"Depth_ft","Formation","Quartz","Plagioclase","K_Feldspar","Calcite","Dolomite_Fe_Dolomite","Pyrite","Total_Clay","MBI"
7786.1,"Utica",27.1,5.4,0.3,14.8,2.7,3.1,46.6,0.45
7816.35,"Utica",21.6,6.4,0.5,12.2,2.2,3.6,53.6,0.36
7846.4,"Utica",20.4,3.8,0.9,27.8,3.1,2.2,41.9,0.52
