"Depth","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Formation","chemofacies","Factor1","Factor2","Factor3"
7794,8.07,20.8,2.03,0.001,4.51,2.63,0.96,13.78,0.05,0.02,1.5,10,2,15,7.5,76.91,29.9,49.53,103.3,21.99,"Utica FM",3,0.543519169373836,1.99293203883372,-0.801445667894883
7794.6,8.89,25.93,2.86,0.51,4.78,1.94,1.17,4.31,0.03,0.02,1.5,10,2,15,7.5,84.74,19.63,59.21,121.96,13.38,"Utica FM",3,1.32076494699815,1.45390014762707,0.233358160243927
7795,8.95,25.03,2.6,0.001,4.12,1.35,1.04,6.62,0.04,0.02,1.5,10,2,15,7.5,65.69,19.03,57.77,128.18,15.39,"Utica FM",3,1.13942803701829,1.48508642887124,0.366736091275039
7795.6,5.97,18.94,2.56,0.001,5.41,3.32,0.96,7.99,0.03,0.09,1.5,10,2,15,7.5,7.5,16.7,55,124.91,5,"Utica FM",3,0.793982549399155,1.71179921038629,-0.255295005398059
7796,8.93,25.39,2.67,0.42,4.52,2.84,1.06,4.37,0.03,0.02,1.5,10,2,76.91,24.76,106.02,14.37,59.9,132.46,24.45,"Utica FM",3,1.18286025743104,0.844435522367789,-0.412397617250715
7796.6,5.66,15.76,1.48,0.001,3.49,1.65,1.33,19.01,0.07,0.02,1.5,10,2,15,7.5,93.36,13.735,41.64,94.12,5,"Utica FM",3,0.266423831367274,1.04873602375595,0.379311784681977
7797,8.97,26.04,2.66,0.48,4.44,2.62,1.01,5.2,0.03,0.04,1.5,10,2,15,45.85,80.7,13.4175,57.3,123.58,28.2,"Utica FM",3,1.12610965165309,1.13613683247236,-0.587169877542041
7797.6,6.66,21.54,2.85,0.49,4.77,2.12,0.8,4.26,0.02,0.02,1.5,10,2,15,7.5,7.5,13.25875,60.9,126.03,5,"Utica FM",3,1.07009921322515,1.41306731864343,0.527091257433987
7798,7.56,21.68,2.49,0.001,4.4,2.1,0.6,9.1,0.04,0.06,1.5,10,2,15,7.5,78.97,13.179375,50.69,122.38,30.91,"Utica FM",3,0.820232733479502,1.55412355690506,-0.426218444624064
7798.6,1.51,4.37,0.27,0.001,1.1,0.39,0.3,41.11,0.12,0.02,1.5,10,2,15,7.5,7.5,13.1396875,1.5,1.5,5,"Utica FM",4,-1.72607583414402,1.05569525688338,0.349202759516813
7799,7.03,20.3,2.53,0.001,3.99,1.15,0.94,9.41,0.04,0.02,1.5,10,2,15,7.5,7.5,13.11984375,52.5,101.76,5,"Utica FM",3,0.763085441829693,1.35620114277254,0.749085586909356
7799.6,8.94,25.62,2.67,0.44,4.31,2.39,1.17,5.94,0.03,0.02,1.5,10,2,15,7.5,93.41,13.109921875,58.44,125.64,27.59,"Utica FM",3,1.23607319968603,1.38397559366312,-0.205462336886969
7800,7.45,21.73,2.41,0.001,4.12,2.39,0.3,4.64,0.03,0.02,1.5,10,2,15,7.5,75.04,13.1049609375,69.23,115,10.64,"Utica FM",3,0.974920021519157,1.51078755268401,0.128880911367977
7800.6,3.6,9.77,0.55,0.001,3.14,1.18,0.78,31.09,0.07,0.02,1.5,10,2,15,7.5,80.24,13.10248046875,33.14,72.78,17.68,"Utica FM",4,-0.55283250619089,1.08948690784434,-0.0287306669828726
