"Depth_ft","Formation","Quartz","Plagioclase","K_Feldspar","Calcite","Dolomite_Fe_Dolomite","Pyrite","Total_Clay","MBI"
7876.6,"PP",26.6,3.7,0.6,31.4,0,3.1,34.7,0.59
7894.6,"PP",25.1,5.6,0.4,28.6,0.8,3.6,36,0.55
7906.4,"PP",14.4,3.1,0.9,49.9,1.7,5.1,24.9,0.67
7918.4,"PP",17.8,3.1,0.3,44.9,1.3,5,27.3,0.64
7931.45,"PP",8.1,1.2,0,69.4,4.8,1.5,15,0.82
7941.95,"PP",10.7,2.5,0.7,57.6,0.9,3.7,24,0.7
7953.8,"PP",9.5,2.4,0.8,47.8,0.7,4,34.9,0.59
