Depth,Al_wt%,Si_wt%,K_wt%,Ti_wt%,Fe_wt%,S_wt%,Mg_wt%,Ca_wt%,Sr_wt%,P_wt%,Mo_ppm,V_ppm,U_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Th_ppm,Rb_ppm,Zr_ppm,Pb_ppm,chemofacies,Factor1,Factor2,Factor3,TOC_(wt.%),Total_Porosity,Quartz,Plagioclase,K-Feldspar,Calcite,Siderite,Ankerite,Dolomite,Pyrite,Fluorapatite,Barite,Total_Clay,MBI
6425.6,2.94,11.93,0.96,0.001,1.14,1.47,0.3,29.16,0.15,0.39,1.5,10,8.83,95.26,7.5,14.55,37.115,46.46,48.97,5,4,-1.50745925733768,0.506922600099101,-0.338604644295405,2.969915966386628,0.02711026072329724,9.008148148148393,0,0.5725925925926276,70.83851851851796,0,0,5,2.5725925925926276,2.4274074074073724,0,9.153333333333649,0.8584666666666635
6426,0.5,3.32,0.17,0.001,0.45,0.73,0.3,41.06,0.22,0.37,1.5,10,8.83,72.62,7.5,15.8,37.7225,13.27,12.72,5,4,-2.55536788826117,0.483851062974032,-0.408609692260708,3.02302521008406,0.027456770395290216,9.215555555555612,0,0.6022222222222303,70.36444444444432,0,0,5,2.60222222222223,2.39777777777777,0,9.420000000000073,0.8557999999999992
6426.6,0.5,3.32,0.17,0.001,0.45,0.73,0.3,41.06,0.22,0.37,1.5,10,8.83,72.62,7.5,15.8,37.7225,13.27,12.72,5,4,-2.55536788826117,0.483851062974032,-0.408609692260708,3.1026890756303294,0.02797653490328046,9.526666666666912,0,0.6466666666667017,69.65333333333277,0,0,5,2.6466666666667016,2.3533333333332984,0,9.820000000000316,0.8517999999999968
6427,1.05,4.81,0.28,0.001,1.02,1.17,0.93,39.42,0.22,1.02,1.5,10,8.83,84.22,35,14.59,38.33,16.92,26.03,5,4,-2.71233036024467,-0.240612620711182,-1.06770131126388,3.155798319327762,0.028323044575273435,9.73407407407413,0,0.6762962962963044,69.17925925925913,0,0,5,2.6762962962963046,2.3237037037036954,0,10.08666666666674,0.8491333333333326
6427.6,1.05,4.81,0.28,0.001,1.02,1.17,0.93,39.42,0.22,1.02,1.5,10,8.83,84.22,35,14.59,38.33,16.92,26.03,5,4,-2.71233036024467,-0.240612620711182,-1.06770131126388,3.235462184874031,0.028842809083263685,10.045185185185431,0,0.7207407407407758,68.46814814814759,0,0,5,2.7207407407407755,2.2792592592592245,0,10.48666666666698,0.8451333333333302
6428,2.26,7.93,1.29,0.29,1.07,1.3,1.09,33.96,0.18,0.4,1.5,10,8.83,106.15,7.5,25.35,35.27,31.79,39.73,7.84,4,-1.69375989810239,0.149529806078934,-0.338130798133752,3.2885714285714633,0.029189318755256655,10.252592592592649,0,0.7503703703703785,67.99407407407395,0,0,5,2.7503703703703786,2.2496296296296214,0,10.753333333333405,0.8424666666666659
6428.6,2.26,7.93,1.29,0.29,1.07,1.3,1.09,33.96,0.18,0.4,1.5,10,8.83,106.15,7.5,25.35,35.27,31.79,39.73,7.84,4,-1.69375989810239,0.149529806078934,-0.338130798133752,3.3682352941177323,0.029709083263246904,10.563703703703949,0,0.7948148148148498,67.2829629629624,0,0,5,2.79481481481485,2.20518518518515,0,11.153333333333649,0.8384666666666635
6429,1.69,7.05,0.44,0.001,0.59,0.98,0.3,36.18,0.2,0.35,1.5,10,8.83,98.32,7.5,7.5,33.585,27.55,30.1,5,4,-2.12684485085382,0.266587745036956,-0.23306215129095,3.421344537815165,0.030055592935239878,10.771111111111168,0,0.8244444444444525,66.80888888888876,0,0,5,2.8244444444444525,2.1755555555555475,0,11.420000000000073,0.8357999999999992
6429.6,1.69,7.05,0.44,0.001,0.59,0.98,0.3,36.18,0.2,0.35,1.5,10,8.83,98.32,7.5,7.5,33.585,27.55,30.1,5,4,-2.12684485085382,0.266587745036956,-0.23306215129095,3.5010084033614337,0.030575357443230124,11.082222222222468,0,0.8688888888889239,66.09777777777722,0,0,5,2.868888888888924,2.131111111111076,0,11.820000000000315,0.8317999999999968
6430,2.17,9.36,1.36,0.38,0.69,1.14,0.82,31.53,0.18,0.38,1.5,10,8.83,90.38,7.5,20.04,31.9,37.22,46.18,7.22,4,-1.58640958379737,0.154923030035812,-0.0934598530965878,3.5541176470588662,0.0309218671152231,11.289629629629687,0,0.8985185185185266,65.62370370370357,0,0,5,2.8985185185185265,2.1014814814814735,0,12.086666666666739,0.8291333333333326
