"Depth_ft","Formation","Quartz","Plagioclase","K-Feldspar","Calcite","Siderite","Ankerite","Dolomite","Pyrite","Fluorapatite","Barite","Total_Clay","MBI"
6369.65,"PP",15,0,0,63,0,2,3,2,1,1,14,0.8
6375.83,"PP",11,0,3,58,0,0,4,2,0,0,23,0.75
6381.15,"PP",12,0,6,59,0,3,4,3,0,0,14,0.8
6390.16,"PP",10,0,0,66,0,2,2,2,0,0,17,0.79
6407.76,"PP",10,0,0,69,0,0,6,1,1,0,13,0.85
6417.87,"PP",5,0,0,80,0,0,5,2,3,0,4,0.91
6431.37,"PP",12,0,1,64,0,0,5,3,2,0,13,0.82
6438.44,"PP",13,1,7,54,0,0,3,3,2,0,17,0.77
6442.77,"PP",15,0,0,66,0,0,7,1,2,0,9,0.88
