"Depth","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Formation","chemofacies","Factor1","Factor2","Factor3"
6212,7.14,24.21,2.27,0.4,3.57,2.14,0.94,10.34,0.05,0.04,1.5,110.72,15.21625,83.85,41.91,55.71,11.72,43.19,127.29,11.55,"Utica FM",2,0.628037145635402,-0.761413934280674,0.28629116583441
6212.6,6.68,24.13,2.1,0.001,3.57,1.75,1.11,10.33,0.04,0.11,1.5,10,15.62,110.34,34.71,58.67,12.74,43.03,108.82,16.72,"Utica FM",2,0.450429462014166,-0.535299450095014,0.138610553253494
6213,7.24,24.86,2.26,0.42,3.64,1.9,1.32,9.17,0.04,0.1,1.5,137.86,15.825,92.99,34.36,54.75,8.02,44.93,136.74,14.25,"Utica FM",2,0.77710130207829,-1.11547896393162,0.489713545168086
6213.6,6.32,22.61,1.89,0.001,3.51,2.07,1.12,13.64,0.05,0.17,1.5,10,15.9275,112.85,49.75,86.85,10.35,36.3,133.86,17.34,"Utica FM",2,0.342325459524806,-0.892373326376675,-0.0691262292116464
6214,6.89,23.07,2.08,0.72,3.83,2.17,1.44,12.14,0.04,0.1,1.5,10,15.97875,99.34,53.54,48.58,9.03,40.31,113.97,15.61,"Utica FM",2,0.478219358592823,-0.890223374122616,0.0991446119512234
6214.6,7.04,23.45,2.08,0.4,3.58,1.9,1.72,11.73,0.05,0.14,1.5,89.7,16.03,93.75,44.87,47.99,11.27,42.22,142.76,15.61,"Utica FM",2,0.606906657271249,-1.08540289761313,0.290206863760054
6215,5.92,22.11,1.87,0.39,3.69,1.95,0.81,12.38,0.05,0.13,1.5,98.98,15.855,105.39,42.71,62.18,11.72,38.55,133.23,15.47,"Utica FM",2,0.323865303825806,-1.02771155429182,0.135205817402518
6215.6,6.9,23.21,1.98,0.4,3.58,1.67,1.56,12.59,0.05,0.12,1.5,96.19,15.68,91.07,50.54,46.75,9.09,41.11,139.48,18.13,"Utica FM",2,0.549163127308074,-1.14831209357383,0.294572769900004
6216,7.09,22.57,2.2,0.94,3.58,1.74,1.54,10.43,0.04,0.18,3.92,10,13.45,101.03,47.74,52.23,10.61,44.4,125.52,13.29,"Utica FM",2,0.480386024534186,-0.853425178100026,0.10675252760666
6216.6,7.13,24.27,2.2,0.43,3.64,2.13,1.55,11.17,0.05,0.13,1.5,109.78,12.335,98.27,63.56,45.82,13.06,42.99,145.41,14.74,"Utica FM",2,0.617691314675665,-1.01054637189174,0.0567862558863132
