"Depth_ft","Total_Porosity"
6360.37,0.0426
6371.25,0.0414
6374.5,0.0277
6377.43,0.0326
6380.43,0.0392
6382.75,0.0331
6386.7,0.0289
6391.76,0.0328
6401.1,0.028
6409.36,0.0306
6416.51,0.0505
6419.47,0.0218
6431.36,0.0321
6432.97,0.0409
6436.21,0.0402
6440.04,0.0481
6443.1,0.0402
