Depth,Al_wt%,Si_wt%,K_wt%,Ti_wt%,Fe_wt%,S_wt%,Mg_wt%,Ca_wt%,Sr_wt%,P_wt%,Mo_ppm,V_ppm,U_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Th_ppm,Rb_ppm,Zr_ppm,Pb_ppm,chemofacies,Factor1,Factor2,Factor3,TOC (wt.%),Porosity,Quartz,Plagioclase,K_Feldspar,Calcite,Dolomite_Fe_Dolomite,Pyrite,Total_Clay,MBI
7789.6,8.7,26.9,3.01,0.51,4.66,2.26,1.35,4.48,0.03,0.02,1.5,10,2,68.59,7.5,76.55,16.69,56.13,126.72,27.58,3,1.24259962465873,1.08846761090027,-0.186147516150015,0.21040816326530384,3.7342073170731673,26.463636363636365,5.515702479338843,0.3231404958677686,14.49917355371901,2.6421487603305787,3.1578512396694216,47.4099173553719,0.43958677685950415
7790,9.12,25.93,2.79,0.51,4.66,2.14,1.35,4.87,0.03,0.02,1.5,10,2,84.71,30.86,79.41,15.175,58.28,131.08,27.77,3,1.19030404551881,0.691584025980641,-0.24823289261513,0.2071428571428582,3.7164024390244026,26.390909090909158,5.528925619834699,0.3257851239669397,14.464793388429785,2.6355371900826507,3.1644628099173495,47.50247933884289,0.43839669421487715
7790.6,8.8,25.73,2.75,0.001,4.21,1.79,0.91,5.35,0.03,0.02,1.5,10,2,69.97,7.5,72.5,13.66,60.51,121.36,23.87,3,1.12840676051245,1.08649662067088,0.0656245053843302,0.20224489795918232,3.6896951219512153,26.281818181818185,5.548760330578513,0.32975206611570246,14.413223140495868,2.625619834710744,3.1743801652892563,47.64132231404959,0.4366115702479339
7791,8.99,26.7,2.44,0.44,4.2,1.43,0.86,6.45,0.03,0.02,1.5,10,2,15,7.5,70.61,14.915,54.46,129.59,20.07,3,1.16212634898485,1.32827821289136,0.348134941665524,0.19897959183673666,3.6718902439024506,26.20909090909098,5.5619834710743685,0.3323966942148736,14.378842975206643,2.619008264462816,3.180991735537184,47.733884297520575,0.4354214876033069
7791.6,10.4,27.1,2.99,0.45,4.43,1.19,1.68,4.79,0.02,0.02,1.5,10,2,15,7.5,73.29,15.5425,61.91,120.39,12.59,3,1.56419067491454,1.22797838736836,0.731258068676069,0.19408163265306078,3.645182926829263,26.1,5.581818181818182,0.33636363636363636,14.327272727272728,2.6090909090909093,3.190909090909091,47.872727272727275,0.43363636363636365
7792,10.08,27.09,2.91,0.001,4.66,1.48,1.3,4.43,0.02,0.02,1.5,10,2,15,7.5,7.5,15.85625,61.72,131.44,5,3,1.45699229923856,1.5062467545287,0.769354639286716,0.19081632653061512,3.627378048780498,26.027272727272795,5.595041322314038,0.3390082644628075,14.292892561983503,2.6024793388429814,3.197520661157019,47.96528925619826,0.43244628099173665
7792.6,8.3,26.5,2.14,0.001,4.43,2.01,1.12,6.79,0.03,0.02,1.5,10,2,70.67,7.5,87.92,16.17,47.04,139,21.01,3,1.03576372833849,1.01908720227853,-0.00715213844565087,0.20016949152542435,3.600670731707311,25.918181818181818,5.614876033057851,0.3429752066115702,14.241322314049587,2.5925619834710747,3.2074380165289256,48.10413223140496,0.4306611570247934
7793,6.81,19.67,2.02,0.001,3.69,2.06,1.31,13.28,0.05,0.02,1.5,10,2,15,7.5,7.5,20.22,44.4,92.62,5,3,0.441363543477254,1.55096987316481,0.187502064270907,0.20830508474575643,3.582865853658546,25.84545454545461,5.628099173553707,0.34561983471074137,14.206942148760362,2.585950413223147,3.2140495867768535,48.19669421487595,0.42947107438016635
7793.6,7.37,22.8,2.75,0.51,4.72,2.49,0.42,3.79,0.02,0.02,1.5,10,2,15,7.5,82.66,24.27,58.38,123.25,25.58,3,0.974994728561456,1.83739586185462,-0.522512614992336,0.22050847457627307,3.5561585365853587,25.736363636363638,5.647933884297521,0.3495867768595041,14.155371900826447,2.57603305785124,3.2239669421487602,48.33553719008265,0.42768595041322316
7794,8.07,20.8,2.03,0.001,4.51,2.63,0.96,13.78,0.05,0.02,1.5,10,2,15,7.5,76.91,29.9,49.53,103.3,21.99,3,0.543519169373836,1.99293203883372,-0.801445667894883,0.22864406779660515,3.538353658536594,25.66363636363643,5.6611570247933765,0.3522314049586753,14.120991735537222,2.569421487603312,3.230578512396688,48.42809917355363,0.42649586776859616
