"Depth_ft","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Chemofacies","Formation","Core","chemofacies","Al_ppm","K/Al","Mg/Al","Rb/Al","Si/Al","Ti/Al","Zr/Al","Si/Ti","Cu/Al","Fe/Al","Ni/Al","Mo/Al","S/Al","U/Al","Zn/Al","Si/Ca","SGR","Sr/Ca","V/Al","Depth_ft","Factor1","Factor2","Factor3"
6147.6,7.81,30.56,2.46,0.001,4.93,2.67,1.37,1.21,0.02,0.12,5.7,10,12.05,125,73.12,89.46,23.68,54.44,134.7,36.75,1,"Utica FM","Potage",1,78100,0.31,0.18,7e-04,3.9,0.00013,0.0017,31000,0.00094,0.63,0.0016,7.3e-05,0.34,0.00015,0.0011,25,230.48,0.017,0.00013,6147.6,0.776278508686323,-0.192965550531993,-1.67219014992203
6148,8.62,29,2.77,0.56,5.09,2.18,1.7,2.59,0.01,0.11,9.71,233.59,15.85,132.4,39.52,91.16,9.49,56.54,142.92,41.78,2,"Utica FM","Potage",1,86200,0.32,0.2,0.00066,3.4,0.065,0.0017,52,0.00046,0.59,0.0015,0.00011,0.25,0.00018,0.0011,11,209.08,0.0039,0.0027,6148,1.02789350969293,-1.43743315632993,-1.31337242478605
6148.6,7.82,27.61,2.64,0.001,5.8,3.88,1.03,1.27,0.01,0.11,14.92,10,16.475,162.65,56.26,90.23,7.86,132.74,153.42,68.08,2,"Utica FM","Potage",1,78200,0.34,0.13,0.0017,3.5,0.00013,0.002,28000,0.00072,0.74,0.0021,0.00019,0.5,0.00021,0.0012,22,205.48,0.0079,0.00013,6148.6,0.849699386950083,-0.549552405460991,-3.41705454175696
6149,8.2,27.86,2.7,0.56,5.15,2.39,1.38,2.65,0.02,0.05,6.91,208.75,17.1,123.25,57.09,74.89,8.18,51.04,131.22,50.46,2,"Utica FM","Potage",1,82000,0.33,0.17,0.00062,3.4,0.068,0.0016,50,7e-04,0.63,0.0015,8.4e-05,0.29,0.00021,0.00091,11,212.72,0.0075,0.0025,6149,0.88109091179366,-1.36143575670199,-1.46747635822716
6149.6,7.55,26.76,2.28,0.46,4.88,2.42,1.44,5.72,0.02,0.11,13.34,194.6,17.54,136.25,64.71,81.77,7.78,49.67,124.85,53.67,2,"Utica FM","Potage",1,75500,0.3,0.19,0.00066,3.5,0.061,0.0017,58,0.00086,0.65,0.0018,0.00018,0.32,0.00023,0.0011,4.7,207.92,0.0035,0.0026,6149.6,0.389886678433679,-1.51454107460208,-2.43774932453425
6150,8.09,27.35,2.42,0.97,5.24,3.12,1.54,3.34,0.02,0.27,14.34,10,13.81,137.35,124.48,71.62,9.66,54.37,117.3,73.14,2,"Utica FM","Potage",1,80900,0.3,0.19,0.00067,3.4,0.12,0.0014,28,0.0015,0.65,0.0017,0.00018,0.39,0.00017,0.00089,8.2,187.84,0.006,0.00012,6150,0.131562927216184,-1.08677846156468,-3.91540911657015
6150.6,7.19,23.67,2.17,0.001,4.66,2.27,2.21,9.5,0.02,0.19,11.01,10,17.8,117.19,52.82,61.47,7.19,43.86,95.11,45,2,"Utica FM","Potage",1,71900,0.3,0.31,0.00061,3.3,0.00014,0.0013,24000,0.00073,0.65,0.0016,0.00015,0.32,0.00025,0.00085,2.5,205.88,0.0021,0.00014,6150.6,0.245925261041003,-0.788387333549478,-2.01854732672395
6151,7.21,23.62,2.17,0.001,4.78,2.12,2.17,9.11,0.03,0.15,9.9,10,12.3,117.96,54.26,75.89,7.93,103.73,112.01,35.01,2,"Utica FM","Potage",1,72100,0.3,0.3,0.0014,3.3,0.00014,0.0016,24000,0.00075,0.66,0.0016,0.00014,0.29,0.00017,0.0011,2.6,164.84,0.0033,0.00014,6151,0.690877400200054,-0.665184806098623,-1.38245855596974
6151.6,6.72,23.39,2.04,0.36,4.62,1.98,1.62,9.74,0.03,0.14,6.62,155.25,14.22,122.61,50.99,64.57,9.11,42.07,110.38,46.17,2,"Utica FM","Potage",1,67200,0.3,0.24,0.00063,3.5,0.054,0.0016,65,0.00076,0.69,0.0018,9.9e-05,0.29,0.00021,0.00096,2.4,182.84,0.0031,0.0023,6151.6,0.328295276305868,-1.11869136205834,-1.38608726175175
6152,6.7,22.54,2.03,0.94,4.88,2.32,1.57,8.66,0.03,0.17,12.88,10,11.47,105.21,69.82,51.32,10.78,103.12,111.34,52.63,2,"Utica FM","Potage",1,67000,0.3,0.23,0.0015,3.4,0.14,0.0017,24,0.001,0.73,0.0016,0.00019,0.35,0.00017,0.00077,2.6,167.36,0.0035,0.00015,6152,0.277638803513269,-0.505517950909167,-2.40632831574484
6152.6,8.6,30.32,2.76,0.001,4.84,2.9,1.23,2.1,0.01,0.13,17.41,10,21,124.33,82.59,91.97,10.37,55.38,122.78,54.46,2,"Utica FM","Potage",1,86000,0.32,0.14,0.00064,3.5,0.00012,0.0014,30000,0.00096,0.56,0.0014,2e-04,0.34,0.00024,0.0011,14,253.64,0.0048,0.00012,6152.6,0.431897715514881,-0.816542579643887,-3.33560620915168
6153,8.64,28.95,2.71,0.001,4.61,2.62,1.62,4.06,0.02,0.1,12.86,10,16.24,121.52,68.16,84.92,10.91,54.05,107.11,47.25,2,"Utica FM","Potage",1,86400,0.31,0.19,0.00063,3.4,0.00012,0.0012,29000,0.00079,0.53,0.0014,0.00015,0.3,0.00019,0.00098,7.1,216.92,0.0049,0.00012,6153,0.553124505699418,-0.530021652434227,-2.47104697597659
6153.6,7.66,26.71,2.4,0.001,4.42,2.2,1.25,6.48,0.03,0.17,17.38,10,14.6,131.85,63.89,119.67,9.9,120.88,127.64,34.67,2,"Utica FM","Potage",1,76600,0.31,0.16,0.0016,3.5,0.00013,0.0017,27000,0.00083,0.58,0.0017,0.00023,0.29,0.00019,0.0016,4.1,194.8,0.0046,0.00013,6153.6,0.588567600628992,-0.835168392253649,-2.27109577486172
6154,7.15,23.73,2.14,0.001,4.71,2.37,1.91,8.4,0.02,0.21,12.9,10,16.94,142.48,54.93,90.29,14.1,44.6,105.43,49.79,2,"Utica FM","Potage",1,71500,0.3,0.27,0.00062,3.3,0.00014,0.0015,24000,0.00077,0.66,0.002,0.00018,0.33,0.00024,0.0013,2.8,226.16,0.0024,0.00014,6154,0.112058861616393,-0.722437228857043,-2.59409158899084
6154.6,8.46,29.55,2.57,0.53,5.04,3.1,1.33,2.97,0.02,0.15,18.56,235.44,15.51,149.07,88.13,63.05,9.5,53.79,140.57,79.35,2,"Utica FM","Potage",1,84600,0.3,0.16,0.00064,3.5,0.063,0.0017,56,0.001,0.6,0.0018,0.00022,0.37,0.00018,0.00075,9.9,203.2,0.0067,0.0028,6154.6,0.247813270580372,-1.4293010545769,-4.16241414482048
6155,8.34,29.18,2.58,0.52,4.66,2.72,1.11,4.31,0.02,0.04,32.07,223.46,22.64,124.1,60.58,66.38,10.02,55.07,141.21,64.25,2,"Utica FM","Potage",1,83400,0.31,0.13,0.00066,3.5,0.062,0.0017,56,0.00073,0.56,0.0015,0.00038,0.33,0.00027,8e-04,6.8,262.48,0.0046,0.0027,6155,-0.085008503949247,-1.32572264445867,-4.82756599634072
6155.6,8.49,28.92,2.58,0.51,4.91,2.99,1.75,4.37,0.02,0.13,19.32,241.91,19.18,138.16,75.05,60.93,7.8,53.07,136.44,70.85,2,"Utica FM","Potage",1,84900,0.3,0.21,0.00063,3.4,0.06,0.0016,57,0.00088,0.58,0.0016,0.00023,0.35,0.00023,0.00072,6.6,225.92,0.0046,0.0028,6155.6,0.312120191420697,-1.64015860526149,-3.77633043130475
6156,7.36,23.24,2.1,0.001,4.96,2.33,2.75,9.88,0.03,0.15,13.04,10,15.08,128.7,59.83,49.05,6.09,101.54,123.95,53.45,2,"Utica FM","Potage",1,73600,0.29,0.37,0.0014,3.2,0.00014,0.0017,23000,0.00081,0.67,0.0017,0.00018,0.32,2e-04,0.00067,2.4,178.6,0.003,0.00014,6156,0.543508143953303,-0.88893074201827,-2.26201319943803
6156.6,8.3,27.02,2.49,0.46,4.65,2.68,2.22,6.07,0.02,0.16,13.97,197.9,15.22,136.78,59.7,57.77,8.94,51.11,131.29,54.85,2,"Utica FM","Potage",1,83000,0.3,0.27,0.00062,3.3,0.055,0.0016,59,0.00072,0.56,0.0016,0.00017,0.32,0.00018,7e-04,4.5,197.36,0.0033,0.0024,6156.6,0.493141543804257,-1.37820680617746,-2.56896208523216
6157,8.05,26.53,2.39,0.001,4.79,2.82,1.68,6.23,0.02,0.14,13.33,10,16.34,148.7,65.12,52.83,19.67,50.41,106.64,73.13,2,"Utica FM","Potage",1,80500,0.3,0.21,0.00063,3.3,0.00012,0.0013,27000,0.00081,0.6,0.0018,0.00017,0.35,2e-04,0.00066,4.3,247.64,0.0032,0.00012,6157,0.0759716372674576,-0.256104107192662,-3.59577207134285
6157.6,4.18,13.26,1.27,0.001,3.38,1.21,1.24,20.7,0.03,0.02,9.29,10,19.85,89.88,46.37,68.27,9.91,40.56,96.52,34.82,1,"Utica FM","Potage",2,41800,0.3,0.3,0.00097,3.2,0.00024,0.0023,13000,0.0011,0.81,0.0022,0.00022,0.29,0.00047,0.0016,0.64,218.76,0.0014,0.00024,6157.6,-0.431831166244241,-0.758679982767799,-1.17482493496103
6158,8.67,27.29,2.52,0.46,4.76,3.03,2.43,6.82,0.02,0.17,15.7,203.57,17.75,120.82,60.11,58.84,11.18,47.94,128.29,65.18,2,"Utica FM","Potage",1,86700,0.29,0.28,0.00055,3.1,0.053,0.0015,59,0.00069,0.55,0.0014,0.00018,0.35,2e-04,0.00068,4,227.04,0.0029,0.0023,6158,0.406588625830647,-1.25738594261813,-3.25263580312733
6158.6,8.61,27.21,2.46,0.43,4.57,3.06,2.02,7.14,0.03,0.17,15.83,181.4,16.7,124.36,72.4,87.04,6.41,46.55,125.53,58,2,"Utica FM","Potage",1,86100,0.29,0.23,0.00054,3.2,0.05,0.0015,63,0.00084,0.53,0.0014,0.00018,0.36,0.00019,0.001,3.8,198.6,0.0042,0.0021,6158.6,0.363671961490739,-1.42376784669091,-3.11636566779539
6159,8.42,28.24,2.67,0.001,5.04,3.9,1.14,3.28,0.02,0.12,23.4,10,12.04,139.74,72.46,115.87,9.96,133.8,126.68,65.4,2,"Utica FM","Potage",1,84200,0.32,0.14,0.0016,3.4,0.00012,0.0015,28000,0.00086,0.6,0.0017,0.00028,0.46,0.00014,0.0014,8.6,178.88,0.0061,0.00012,6159,0.493426491637215,-0.19067946468621,-4.55442816762717
6159.6,7.27,24.81,2.46,0.44,4.58,2.58,1.16,6.74,0.03,0.13,12.53,205.79,14.42,114.89,68.79,73.86,8.1,50.22,126.79,58,2,"Utica FM","Potage",1,72700,0.34,0.16,0.00069,3.4,0.061,0.0017,56,0.00095,0.63,0.0016,0.00017,0.35,2e-04,0.001,3.7,187.12,0.0045,0.0028,6159.6,0.294771624209152,-1.14964915861688,-2.62590619845991
6160,7.5,26.57,2.49,0.001,4.45,4.75,1.59,5.15,0.02,0.1,18.21,10,19.02,142.17,72.12,101.58,9.45,53.11,106.38,57.14,2,"Utica FM","Potage",1,75000,0.33,0.21,0.00071,3.5,0.00013,0.0014,27000,0.00096,0.59,0.0019,0.00024,0.63,0.00025,0.0014,5.2,229.8,0.0039,0.00013,6160,0.0880811491652736,-0.609856184774672,-4.21581902050394
6160.6,8.97,28.69,2.39,0.45,4.66,3.21,1.58,6.03,0.03,0.06,10.79,190.38,13.38,133.53,65.58,100.84,10.04,47.92,132.53,57.45,2,"Utica FM","Potage",1,89700,0.27,0.18,0.00053,3.2,0.05,0.0015,64,0.00073,0.52,0.0015,0.00012,0.36,0.00015,0.0011,4.8,185.44,0.005,0.0021,6160.6,0.618764748631613,-1.09250013300913,-2.58308954628562
6161,8.32,27.17,2.5,0.001,4.29,2.84,1.89,6.43,0.03,0.1,10.04,10,16.25,122.67,58.8,68.02,7,114.51,130.27,44.73,2,"Utica FM","Potage",1,83200,0.3,0.23,0.0014,3.3,0.00012,0.0016,27000,0.00071,0.52,0.0015,0.00012,0.34,2e-04,0.00082,4.2,198,0.0047,0.00012,6161,0.884637475811601,-0.775437365778609,-1.74605038923401
6161.6,6.79,23.74,2.21,0.39,4.02,2.47,1.07,10.39,0.04,0.12,12.27,155.28,19.12,111.1,47.49,61.54,8.09,42.81,117.45,42.28,2,"Utica FM","Potage",1,67900,0.33,0.16,0.00063,3.5,0.057,0.0017,61,7e-04,0.59,0.0016,0.00018,0.36,0.00028,0.00091,2.3,220.68,0.0038,0.0023,6161.6,0.0845145040864534,-1.17084363714036,-1.98211669454897
6162,6.69,22.55,1.97,0.001,4.35,2.36,1.71,12.34,0.04,0.07,10.49,10,17.105,105.08,46.11,57.92,9.96,93.1,118.11,36.25,2,"Utica FM","Potage",1,66900,0.29,0.26,0.0014,3.4,0.00015,0.0018,23000,0.00069,0.65,0.0016,0.00016,0.35,0.00026,0.00087,1.8,208.2,0.0032,0.00015,6162,0.399059444803344,-0.586912841117034,-1.52983691555532
6162.6,7.64,26.27,2.37,0.001,4.52,2.55,1.72,6.9,0.02,0.12,7.42,10,15.09,116.32,66.62,81.65,29.02,49.57,103.1,41.25,1,"Utica FM","Potage",1,76400,0.31,0.23,0.00065,3.4,0.00013,0.0013,26000,0.00087,0.59,0.0015,9.7e-05,0.33,2e-04,0.0011,3.8,274.72,0.0029,0.00013,6162.6,0.364901624005263,-0.0829708239799347,-2.11303181774827
6163,7.81,26.38,2.34,0.42,4.3,2.49,1.78,7.34,0.03,0.14,8.17,151.81,13.63,124.24,51.35,72.96,6.88,47.94,125.06,43.44,2,"Utica FM","Potage",1,78100,0.3,0.23,0.00061,3.4,0.054,0.0016,63,0.00066,0.55,0.0016,1e-04,0.32,0.00017,0.00093,3.6,174,0.0041,0.0019,6163,0.584882284854528,-1.15128634646337,-1.49284226342638
6163.6,7.32,25.79,2.19,0.001,4.18,2.72,1.47,9.31,0.04,0.14,13.3,10,13.265,121.64,57.29,68.38,10.31,101.48,113.44,41,2,"Utica FM","Potage",1,73200,0.3,0.2,0.0014,3.5,0.00014,0.0015,26000,0.00078,0.57,0.0017,0.00018,0.37,0.00018,0.00093,2.8,182.4,0.0043,0.00014,6163.6,0.377045583596209,-0.461896279071297,-2.23912294125823
6164,6.32,23.71,2.05,1.23,4.19,2.48,1,8.62,0.03,0.02,9.4,10,12.9,127.48,70.37,68.28,10.24,43.83,99.34,43.09,1,"Utica FM","Potage",1,63200,0.32,0.16,0.00069,3.8,0.19,0.0016,19,0.0011,0.66,0.002,0.00015,0.39,2e-04,0.0011,2.8,176.96,0.0035,0.00016,6164,0.0803498865563829,-0.722159230482411,-1.83721423124649
6164.6,8.12,29.32,2.36,0.46,4.19,2.8,1.3,6.02,0.03,0.13,12.69,184.18,19.32,123.56,71.51,96.02,6.57,48,126.28,43.97,2,"Utica FM","Potage",1,81200,0.29,0.16,0.00059,3.6,0.057,0.0016,64,0.00088,0.52,0.0015,0.00016,0.34,0.00024,0.0012,4.9,218.6,0.005,0.0023,6164.6,0.456050290556842,-1.66215790031998,-2.19730915118944
6165,7.52,26.3,2.26,0.4,4.38,2.99,1.69,8.27,0.03,0.06,7.45,165.88,13.7,127.56,66.64,99.19,10.9,44.77,116.81,51.26,2,"Utica FM","Potage",1,75200,0.3,0.22,6e-04,3.5,0.053,0.0016,66,0.00089,0.58,0.0017,9.9e-05,0.4,0.00018,0.0013,3.2,189.36,0.0036,0.0022,6165,0.496524186168509,-1.1119924959566,-2.03854869048239
6165.6,6.78,24.66,2.26,0.41,4.06,2.12,1.17,9.04,0.03,0.09,9.63,176.1,14.21,113.93,50.25,65.14,8.92,44.73,129.38,34,2,"Utica FM","Potage",1,67800,0.33,0.17,0.00066,3.6,0.06,0.0019,60,0.00074,0.6,0.0017,0.00014,0.31,0.00021,0.00096,2.7,185.52,0.0033,0.0026,6165.6,0.380908440778347,-1.11547263859465,-1.28828461732255
6166,7.1,25.25,2.27,0.43,4.38,2.57,1.46,7.11,0.03,0.11,8.81,180.87,8.99,109.91,54.68,82.26,12.3,48.96,127.6,35.45,2,"Utica FM","Potage",1,71000,0.32,0.21,0.00069,3.6,0.061,0.0018,59,0.00077,0.62,0.0015,0.00012,0.36,0.00013,0.0012,3.6,157.44,0.0042,0.0025,6166,0.523074505505645,-0.748364631279433,-1.56300092428648
6166.6,7.98,27.8,2.33,0.43,3.91,2.54,2,7.91,0.03,0.1,11.01,191.49,20.69,108.71,50.55,83.36,11.41,45.95,132.04,27.63,2,"Utica FM","Potage",1,79800,0.29,0.25,0.00058,3.5,0.054,0.0017,65,0.00063,0.49,0.0014,0.00014,0.32,0.00026,0.001,3.5,248.44,0.0038,0.0024,6166.6,0.60957077804259,-1.61016386013763,-1.30233516516903
6167,7.35,26.48,2.07,0.001,4.1,2.65,1.29,9.36,0.03,0.2,13.14,10,23.58,117.69,48.11,133.23,9.46,44.11,123,31.77,2,"Utica FM","Potage",1,73500,0.28,0.18,6e-04,3.6,0.00014,0.0017,26000,0.00065,0.56,0.0016,0.00018,0.36,0.00032,0.0018,2.8,259.6,0.0032,0.00014,6167,0.253933083939447,-1.14803641076841,-1.95734965498668
6167.6,8.17,28.79,2.43,0.48,4.05,2.79,0.88,6.53,0.03,0.18,9.62,220.19,19.73,118.35,56.39,180.93,8.33,47.75,135.97,25.52,2,"Utica FM","Potage",1,81700,0.3,0.11,0.00058,3.5,0.059,0.0017,60,0.00069,0.5,0.0014,0.00012,0.34,0.00024,0.0022,4.4,230.04,0.0046,0.0027,6167.6,0.735210386466437,-1.88560193605083,-1.29325931293288
6168,7.8,27.69,2.27,0.46,4.06,2.52,0.9,6.72,0.03,0.17,15.39,199.87,16.55,114.62,84.28,151.39,10.7,47.64,133.88,23.82,2,"Utica FM","Potage",1,78000,0.29,0.12,0.00061,3.6,0.059,0.0017,60,0.0011,0.52,0.0015,2e-04,0.32,0.00021,0.0019,4.1,211.52,0.0045,0.0026,6168,0.387731609819047,-1.7166707369924,-2.0693518037505
6168.6,8.54,29.47,2.59,0.001,4.13,2.22,1.53,5.28,0.02,0.14,10.05,10,14.97,125,70.03,121.85,12.06,52.19,112.48,30.39,1,"Utica FM","Potage",1,85400,0.3,0.18,0.00061,3.5,0.00012,0.0013,29000,0.00082,0.48,0.0015,0.00012,0.26,0.00018,0.0014,5.6,209.44,0.0038,0.00012,6168.6,0.682859430947974,-0.78947263012704,-1.55208382327335
6169,7.87,30.52,2.5,0.001,4.29,2.8,1.22,3.13,0.02,0.06,18.38,10,11.19,115.81,61.62,108.16,9.27,127.86,133.8,38.19,2,"Utica FM","Potage",1,78700,0.32,0.16,0.0016,3.9,0.00013,0.0017,31000,0.00078,0.55,0.0015,0.00023,0.36,0.00014,0.0014,9.8,166.6,0.0064,0.00013,6169,0.818675032442447,-0.318296807337478,-2.56625195089557
