"Depth_ft","Porosity"
7862.5,8.21
7863,8.21
7876.1,6.58
7876.6,6.58
7888.15,7.3
7888.65,7.3
7894.1,7.66
7894.6,7.66
7900.15,7.91
7906.4,6.66
7911.85,8.14
7912.35,8.14
7917.9,8.41
7918.4,8.41
7923.9,1.73
7924.4,1.73
