Depth,Al_wt%,Si_wt%,K_wt%,Ti_wt%,Fe_wt%,S_wt%,Mg_wt%,Ca_wt%,Sr_wt%,P_wt%,Mo_ppm,V_ppm,U_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Th_ppm,Rb_ppm,Zr_ppm,Pb_ppm,chemofacies,Factor1,Factor2,Factor3,TOC (wt.%),Porosity,Quartz,Plagioclase,K_Feldspar,Calcite,Dolomite_Fe_Dolomite,Pyrite,Total_Clay,MBI
7860,2.74,9.3,0.71,0.001,1.6,0.62,0.48,33.12,0.12,0.02,1.5,10,2,15,7.5,7.5,24.755,16.71,1.5,5,4,-1.36308433869794,1.43983481167915,0.117569998724826,1.404,NA,NA,NA,NA,NA,NA,NA,NA,NA
7860.6,2.74,9.3,0.71,0.001,1.6,0.62,0.48,33.12,0.12,0.02,1.5,10,2,15,7.5,7.5,24.755,16.71,1.5,5,4,-1.36308433869794,1.43983481167915,0.117569998724826,1.540800000000083,NA,NA,NA,NA,NA,NA,NA,NA,NA
7861,1.67,5.29,0.33,0.001,1.58,1.08,0.3,40.14,0.2,0.02,1.5,10,2,15,7.5,25.45,20.25,7.14,22.37,8.04,4,-1.82541449812123,1.22366582445847,-0.162233508635969,1.6320000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA
7861.6,1.67,5.29,0.33,0.001,1.58,1.08,0.3,40.14,0.2,0.02,1.5,10,2,15,7.5,25.45,20.25,7.14,22.37,8.04,4,-1.82541449812123,1.22366582445847,-0.162233508635969,1.768800000000083,NA,NA,NA,NA,NA,NA,NA,NA,NA
7862,6.32,22.02,1.93,0.001,2.85,1.23,0.57,14.45,0.06,0.02,1.5,10,2,15,7.5,94.55,22.82,41.16,114.27,39.12,3,0.297013044076861,1.5867533411231,-0.514146051171425,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
7862.6,6.32,22.02,1.93,0.001,2.85,1.23,0.57,14.45,0.06,0.02,1.5,10,2,15,7.5,94.55,22.82,41.16,114.27,39.12,3,0.297013044076861,1.5867533411231,-0.514146051171425,1.8491999999999935,8.21,NA,NA,NA,NA,NA,NA,NA,NA
7863,13.58,23.13,4.93,0.001,1.9,0.64,0.59,0.21,1.5e-4,0.02,1.5,10,10.72,15,7.5,7.5,66.88,80.07,111.875,21.36,3,1.26596285455301,2.67540456157795,-0.186145576911945,1.842,8.21,NA,NA,NA,NA,NA,NA,NA,NA
7863.6,13.58,23.13,4.93,0.001,1.9,0.64,0.59,0.21,1.5e-4,0.02,1.5,10,10.72,15,7.5,7.5,66.88,80.07,111.875,21.36,3,1.26596285455301,2.67540456157795,-0.186145576911945,1.8311999999999935,8.135343511450339,NA,NA,NA,NA,NA,NA,NA,NA
7864,6.76,23.87,2.07,0.001,2.88,1.13,0.71,12.43,0.04,0.02,1.5,10,2,15,7.5,7.5,42.79,42.98,109.48,5,3,0.306233997689274,2.07974517661949,0.165206512688474,1.824,8.085572519083973,NA,NA,NA,NA,NA,NA,NA,NA
7864.6,6.76,23.87,2.07,0.001,2.88,1.13,0.71,12.43,0.04,0.02,1.5,10,2,15,7.5,7.5,42.79,42.98,109.48,5,3,0.306233997689274,2.07974517661949,0.165206512688474,1.8131999999999935,8.010916030534313,NA,NA,NA,NA,NA,NA,NA,NA
7865,6.42,22.5,2.1,0.001,3.11,2.57,0.47,11.39,0.04,0.02,1.5,10,2,15,7.5,7.5,30.745,45.69,107.45,5,3,0.335372567560269,1.98947421095661,-0.183074603273849,1.806,7.961145038167946,NA,NA,NA,NA,NA,NA,NA,NA
