"Depth_ft","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Chemofacies","Formation","Core","chemofacies","Al_ppm","K/Al","Mg/Al","Rb/Al","Si/Al","Ti/Al","Zr/Al","Si/Ti","Cu/Al","Fe/Al","Ni/Al","Mo/Al","S/Al","U/Al","Zn/Al","Si/Ca","SGR","Sr/Ca","V/Al","Depth_ft","Factor1","Factor2","Factor3"
7787.3,6.72,21.79,2.47,0.41,4.1,1.07,0.69,7.01,0.03,0.02,1.5,10,2,15,7.5,79.3,17.0725,51.2,121.95,5,3,"Utica FM","Washinton",3,67200,0.37,0.1,0.00076,3.2,0.061,0.0018,53,0.00011,0.61,0.00022,2.2e-05,0.16,3e-05,0.0012,3.1,123.81,0.0043,0.00015,7787.3,0.939321274311068,1.22154367669364,0.785781497448464
7787.6,9.42,26.97,2.78,0.5,4.54,2.53,1.31,5.54,0.02,0.02,1.5,10,2,15,7.5,81.95,16.08625,61.22,128.43,24.77,3,"Utica FM","Washinton",3,94200,0.3,0.14,0.00065,2.9,0.053,0.0014,54,8e-05,0.48,0.00016,1.6e-05,0.27,2.1e-05,0.00087,4.9,124.825,0.0036,0.00011,7787.6,1.36129559734239,1.48120750640165,-0.192982588863125
7788,6.35,18.39,2.41,0.001,3.96,1.83,0.81,10.65,0.06,0.02,1.5,10,14.69,15,77.23,89.58,15.1,53.47,116.28,26.48,1,"Utica FM","Washinton",2,63500,0.38,0.13,0.00084,2.9,0.00016,0.0018,18000,0.0012,0.62,0.00024,2.4e-05,0.29,0.00023,0.0014,1.7,216.48,0.0056,0.00016,7788,0.488435974199269,0.0581863825231566,-0.538689977918063
7788.6,9.88,25.56,3.08,0.001,4.26,2.93,1.14,3.64,0.02,0.02,1.5,10,7.36,15,51.09,48.54,29.26,64.75,111.35,32.39,1,"Utica FM","Washinton",3,98800,0.31,0.12,0.00066,2.6,1e-04,0.0011,26000,0.00052,0.43,0.00015,1.5e-05,0.3,7.4e-05,0.00049,7,225.2,0.0055,1e-04,7788.6,1.06088074339352,1.51793430053805,-1.17892302552084
7789,6.08,18.75,2.35,0.001,4.09,1.21,0.7,11.7,0.04,0.02,1.5,10,2,15,7.5,7.5,22.975,48.96,106.42,5,3,"Utica FM","Washinton",3,60800,0.39,0.12,0.00081,3.1,0.00016,0.0018,19000,0.00012,0.67,0.00025,2.5e-05,0.2,3.3e-05,0.00012,1.6,145.5,0.0034,0.00016,7789,0.506384010687075,1.63966638680946,0.456476862024012
7789.6,8.7,26.9,3.01,0.51,4.66,2.26,1.35,4.48,0.03,0.02,1.5,10,2,68.59,7.5,76.55,16.69,56.13,126.72,27.58,3,"Utica FM","Washinton",3,87000,0.35,0.16,0.00065,3.1,0.059,0.0015,53,8.6e-05,0.54,0.00079,1.7e-05,0.26,2.3e-05,0.00088,6,130.92,0.0067,0.00011,7789.6,1.24259962465873,1.08846761090027,-0.186147516150015
7790,9.12,25.93,2.79,0.51,4.66,2.14,1.35,4.87,0.03,0.02,1.5,10,2,84.71,30.86,79.41,15.175,58.28,131.08,27.77,3,"Utica FM","Washinton",3,91200,0.31,0.15,0.00064,2.8,0.056,0.0014,51,0.00034,0.51,0.00093,1.6e-05,0.23,2.2e-05,0.00087,5.3,121.34,0.0062,0.00011,7790,1.19030404551881,0.691584025980641,-0.24823289261513
7790.6,8.8,25.73,2.75,0.001,4.21,1.79,0.91,5.35,0.03,0.02,1.5,10,2,69.97,7.5,72.5,13.66,60.51,121.36,23.87,3,"Utica FM","Washinton",3,88000,0.31,0.1,0.00069,2.9,0.00011,0.0014,26000,8.5e-05,0.48,8e-04,1.7e-05,0.2,2.3e-05,0.00082,4.8,114.64,0.0056,0.00011,7790.6,1.12840676051245,1.08649662067088,0.0656245053843302
7791,8.99,26.7,2.44,0.44,4.2,1.43,0.86,6.45,0.03,0.02,1.5,10,2,15,7.5,70.61,14.915,54.46,129.59,20.07,3,"Utica FM","Washinton",3,89900,0.27,0.096,0.00061,3,0.049,0.0014,61,8.3e-05,0.47,0.00017,1.7e-05,0.16,2.2e-05,0.00079,4.1,114.7,0.0047,0.00011,7791,1.16212634898485,1.32827821289136,0.348134941665524
7791.6,10.4,27.1,2.99,0.45,4.43,1.19,1.68,4.79,0.02,0.02,1.5,10,2,15,7.5,73.29,15.5425,61.91,120.39,12.59,3,"Utica FM","Washinton",3,104000,0.29,0.16,6e-04,2.6,0.043,0.0012,60,7.2e-05,0.43,0.00014,1.4e-05,0.11,1.9e-05,7e-04,5.7,126.01,0.0042,9.6e-05,7791.6,1.56419067491454,1.22797838736836,0.731258068676069
7792,10.08,27.09,2.91,0.001,4.66,1.48,1.3,4.43,0.02,0.02,1.5,10,2,15,7.5,7.5,15.85625,61.72,131.44,5,3,"Utica FM","Washinton",3,100800,0.29,0.13,0.00061,2.7,9.9e-05,0.0013,27000,7.4e-05,0.46,0.00015,1.5e-05,0.15,2e-05,7.4e-05,6.1,125.985,0.0045,9.9e-05,7792,1.45699229923856,1.5062467545287,0.769354639286716
7792.6,8.3,26.5,2.14,0.001,4.43,2.01,1.12,6.79,0.03,0.02,1.5,10,2,70.67,7.5,87.92,16.17,47.04,139,21.01,3,"Utica FM","Washinton",3,83000,0.26,0.13,0.00057,3.2,0.00012,0.0017,26000,9e-05,0.53,0.00085,1.8e-05,0.24,2.4e-05,0.0011,3.9,114.92,0.0044,0.00012,7792.6,1.03576372833849,1.01908720227853,-0.00715213844565087
7793,6.81,19.67,2.02,0.001,3.69,2.06,1.31,13.28,0.05,0.02,1.5,10,2,15,7.5,7.5,20.22,44.4,92.62,5,3,"Utica FM","Washinton",3,68100,0.3,0.19,0.00065,2.9,0.00015,0.0014,20000,0.00011,0.54,0.00022,2.2e-05,0.3,2.9e-05,0.00011,1.5,129.2,0.0038,0.00015,7793,0.441363543477254,1.55096987316481,0.187502064270907
7793.6,7.37,22.8,2.75,0.51,4.72,2.49,0.42,3.79,0.02,0.02,1.5,10,2,15,7.5,82.66,24.27,58.38,123.25,25.58,3,"Utica FM","Washinton",3,73700,0.37,0.057,0.00079,3.1,0.069,0.0017,45,1e-04,0.64,2e-04,2e-05,0.34,2.7e-05,0.0011,6,157.08,0.0053,0.00014,7793.6,0.974994728561456,1.83739586185462,-0.522512614992336
7794,8.07,20.8,2.03,0.001,4.51,2.63,0.96,13.78,0.05,0.02,1.5,10,2,15,7.5,76.91,29.9,49.53,103.3,21.99,3,"Utica FM","Washinton",3,80700,0.25,0.12,0.00061,2.6,0.00012,0.0013,21000,9.3e-05,0.56,0.00019,1.9e-05,0.33,2.5e-05,0.00095,1.5,168.08,0.0036,0.00012,7794,0.543519169373836,1.99293203883372,-0.801445667894883
